stage,check_name,expected,observed,status,severity,evidence_file,notes
Stage 1,Dataset 1 raw shape,"(756, 755)","(756, 755)",pass,critical,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 raw shape,"(240, 48)","(240, 48)",pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 1,Dataset 1 fully duplicated row count,1,1,pass,high,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 1 subject label conflicts,0,0,pass,critical,data/附件 1 parkinson+s+disease+classification/pd_speech_features.csv,
Stage 1,Dataset 2 subject label conflicts,0,0,pass,critical,data/附件2 ReplicatedAcousticFeatures-ParkinsonDatabase/ReplicatedAcousticFeatures-ParkinsonDatabase.csv,
Stage 2,Dataset 1 ready row count after deduplication,755,755,pass,critical,results/model_ready_dataset1_deduplicated.csv,
Stage 2,Dataset 2 prepared shape,"(240, 49)","(240, 49)",pass,high,results/model_ready_dataset2_prepared.csv,
Stage 2,Dataset 1 subject record count distribution,"{2: 1, 3: 251}","{2: 1, 3: 251}",pass,critical,results/model_ready_dataset1_deduplicated.csv,
Stage 2,dataset1_class_sex_male_crosstab_subject.csv exists,file exists,results/dataset1_class_sex_male_crosstab_subject.csv,pass,medium,results/dataset1_class_sex_male_crosstab_subject.csv,
Stage 2,dataset2_class_sex_male_crosstab_subject.csv exists,file exists,results/dataset2_class_sex_male_crosstab_subject.csv,pass,medium,results/dataset2_class_sex_male_crosstab_subject.csv,
Stage 3,Subject-level metrics include required clinical metrics,"['balanced_accuracy', 'roc_auc', 'sensitivity', 'specificity']","['balanced_accuracy', 'roc_auc', 'sensitivity', 'specificity']",pass,medium,results/stage3_baseline_metrics_subject_level.csv,
Stage 3,Main subject-level acoustic_only results exist,summary rows for acoustic_only,6,pass,high,results/stage3_baseline_metrics_subject_level.csv,
Stage 4,Subject-level row count,252,252,pass,critical,results/stage4_subject_level_feature_table_dataset1.csv,
Stage 4,Subject-level class distribution,"{0: 64, 1: 188}","{0: 64, 1: 188}",pass,critical,results/stage4_subject_level_feature_table_dataset1.csv,
Stage 4,Subject-level acoustic feature count,752,752,pass,critical,results/stage4_subject_level_feature_table_dataset1.csv,
Stage 4,Top20 row count,20,20,pass,high,results/stage4_top20_biomarkers_dataset1.csv,
Stage 4,Top50 row count,50,50,pass,high,results/stage4_top50_biomarkers_dataset1.csv,
Stage 5,Uses Stage 4 subject-level feature table,Stage 4 subject table,found,pass,critical,src/stage5_pd_two_cluster_phenotyping.py,
Stage 5,PD-only assignment row count,188,188,pass,critical,results/stage5_cluster_assignments_dataset1_pd.csv,
Stage 5,Assignments class distribution,{1: 188},{1: 188},pass,critical,results/stage5_cluster_assignments_dataset1_pd.csv,
Stage 6,Uses Stage 4 subject-level feature table,Stage 4 subject table,found,pass,critical,src/stage6_pd_six_cluster_phenotyping.py,
Stage 6,PD-only assignment row count,188,188,pass,critical,results/stage6_six_cluster_assignments_dataset1_pd.csv,
Stage 6,Assignments class distribution,{1: 188},{1: 188},pass,critical,results/stage6_six_cluster_assignments_dataset1_pd.csv,
Stage 6,Stage 5 overlap subject count,188,188,pass,high,results/stage6_six_cluster_input_audit.csv,
Cross-stage,Dataset 1 lineage,"{'raw_dataset1_rows': 756, 'deduplicated_rows': 755, 'subject_level_rows': 252, 'pd_subject_rows': 188, 'stage5_assignment_rows': 188, 'stage6_assignment_rows': 188}","{'raw_dataset1_rows': 756, 'deduplicated_rows': 755, 'subject_level_rows': 252, 'pd_subject_rows': 188, 'stage5_assignment_rows': 188, 'stage6_assignment_rows': 188}",pass,critical,data/results,
Cross-stage,Stage 5 and Stage 6 id set equality,True,True,pass,critical,results,
Cross-stage,Top20/Top50 exist in subject table,[],[],pass,critical,results,
