dataset,scope,label_value,feature,n,mean,std,median,min,max,IQR
dataset1,record_overall,,PPE,756,0.7462842195767194,0.1692935708541773,0.809655,0.041551,0.90766,0.0714825
dataset1,record_overall,,DFA,756,0.7004139417989419,0.06971804388190898,0.7005250000000001,0.5435,0.85264,0.10793249999999999
dataset1,record_overall,,RPDE,756,0.4890576058201058,0.1374424819158453,0.484355,0.1543,0.87123,0.19997749999999992
dataset1,record_overall,,numPulses,756,323.97222222222223,99.21905937837427,317.0,2.0,907.0,133.25
dataset1,record_overall,,numPeriodsPulses,756,322.67857142857144,99.40249902156039,316.0,1.0,905.0,133.25
dataset1,record_overall,,meanPeriodPulses,756,0.006360002284391535,0.0018264268718279242,0.006048352999999999,0.002107089,0.012965576,0.0025249614999999998
dataset1,record_overall,,stdDevPeriodPulses,756,0.0003829400833333333,0.0007276492231708882,7.659999999999999e-05,1.06e-05,0.003482536,0.00012230975
dataset1,record_overall,,locPctJitter,756,0.0023244265277777777,0.002628001301997271,0.001495,0.00021,0.02775,0.0015500000000000002
dataset1,record_overall,,locAbsJitter,756,1.6733911375661378e-05,2.2901343851921078e-05,9.53e-06,6.86e-07,0.00025648,1.3065000000000001e-05
dataset1,record_overall,,rapJitter,756,0.0006049931626984126,0.000980711845544357,0.00028,2e-05,0.01105,0.0005
dataset1,record_overall,,ppq5Jitter,756,0.0011589665013227513,0.0016767172046730826,0.00065,5e-05,0.01832,0.0008825000000000001
dataset1,record_overall,,ddpJitter,756,0.0018150854973544973,0.002942044688763892,0.00084,5e-05,0.03315,0.0015025
dataset1,record_overall,,locShimmer,756,0.06747323413492064,0.04296905505813728,0.05573,0.00656,0.25101,0.04945
dataset1,record_overall,,locDbShimmer,756,0.6064195357804233,0.3825696282564394,0.5025,0.057,2.114,0.47775
dataset1,record_overall,,apq3Shimmer,756,0.03437513483862434,0.022365666011766733,0.02798,0.00335,0.13051,0.026822500000000003
dataset1,record_overall,,apq5Shimmer,756,0.04117476328042328,0.027164914446887643,0.033705,0.00415,0.19951,0.0310875
dataset1,record_overall,,apq11Shimmer,756,0.055366361726190486,0.03393915105528121,0.047545000000000004,0.00037,0.2775,0.0404225
dataset1,record_overall,,ddaShimmer,756,0.1031253249074074,0.06709669734903995,0.08394499999999999,0.01004,0.39154,0.0804625
dataset1,record_overall,,meanAutoCorrHarmonicity,756,0.9615082010582011,0.06409511687519019,0.9843385,0.589609,0.999382,0.029575249999999942
dataset1,record_overall,,meanNoiseToHarmHarmonicity,756,0.0511313835978836,0.1045794957552999,0.016272500000000002,0.000618,0.761696,0.0328925
dataset1,record_overall,,meanHarmToNoiseHarmonicity,756,18.859632275132274,5.576472718587944,19.3095,1.655,33.197,7.1644999999999985
dataset1,record_overall,,minIntensity,756,70.82860927228836,8.858268298152874,74.12102995000001,28.65152876,83.90834853,9.602501062499996
dataset1,record_overall,,maxIntensity,756,76.13537094056878,6.44645142850982,78.581351285,44.13349197,86.31617587,7.079728927500014
dataset1,record_overall,,meanIntensity,756,73.9970077720238,7.018006333963702,76.85531301,39.98410852,85.09635289,7.798170167500004
dataset1,record_overall,,f1,756,647.1745190084656,134.9579159565836,641.1814977500001,237.1495328,1015.524047,174.34355877500002
dataset1,record_overall,,f2,756,1233.8520877080687,169.09040216764714,1215.344125,761.3576607,1922.747225,222.51055124999993
dataset1,record_overall,,f3,756,2562.425251033069,393.3155976653476,2612.2041980000004,1411.231297,3475.648017,451.53309425
dataset1,record_overall,,f4,756,3547.259243530423,347.8642990009692,3544.0124025,2471.996546,4482.258531,518.68755925
dataset1,record_overall,,b1,756,213.3632365496164,306.97604537355784,141.6109725,13.52499969,4744.875736,143.15867397
dataset1,record_overall,,b2,756,297.1740772244709,450.12548760066073,159.9911856,16.42880275,4262.17007,197.05644512500004
dataset1,record_overall,,b3,756,536.8210698598544,754.3417169355793,265.96457525,21.16439666,6116.039922,366.0389257500001
dataset1,record_overall,,b4,756,506.60485554855825,658.3266059073717,307.9712786,22.84252775,5804.342078,386.8869698750001
dataset1,record_overall,,GQ_prc5_95,756,0.9044226058201059,0.1478264438323354,1.0,0.21053,1.0,0.17742000000000002
dataset1,record_overall,,GQ_std_cycle_open,756,32.295832142857144,31.140745993047148,18.7686,1.7355,194.3608,36.056799999999996
dataset1,record_overall,,GQ_std_cycle_closed,756,4.4548403174603175,7.313057108911551,0.354165,0.0,37.5602,5.374
dataset1,record_overall,,GNE_mean,756,1.0925027645502645,0.350789186541716,1.0162,0.62655,4.9576,0.3142250000000001
dataset1,record_overall,,GNE_std,756,0.21503798544973543,0.1325490511833103,0.18412499999999998,0.023746,1.6541,0.1320225
dataset1,record_overall,,GNE_SNR_TKEO,756,0.1448323015873016,0.060064528957412225,0.13781,0.050828,1.0672,0.037829999999999975
dataset1,record_overall,,GNE_SNR_SEO,756,1567618.0410996033,333279.9027511228,1585921.1469999999,415627.5665,2610535.537,386110.30125
dataset1,record_overall,,GNE_NSR_TKEO,756,1.6392638888888889,0.06569220728696819,1.6363,1.4334,2.2905,0.06315000000000004
dataset1,record_overall,,GNE_NSR_SEO,756,3.021510185185185,0.04761736468247071,3.02555,2.8006,3.2554,0.050675000000000026
dataset1,record_overall,,VFER_mean,756,0.0017895215211640213,0.002621690522960291,0.0010092,7.27e-06,0.031693,0.0014619175
dataset1,record_overall,,VFER_std,756,0.001499780912698413,0.002192688852341966,0.0007402649999999999,8.46e-06,0.02825,0.0013661925
dataset1,record_overall,,VFER_entropy,756,4.020686321428571,6.247896660978621,2.2102500000000003,0.023346,77.5727,3.315829999999999
dataset1,record_overall,,VFER_SNR_TKEO,756,102.78782281746034,128.29123959528474,61.46745,0.52095,999.717,98.8854
dataset1,record_overall,,VFER_SNR_SEO,756,246.16091772486772,276.8992657539011,163.22805,13.5423,2943.6813,179.34552499999998
dataset1,record_overall,,VFER_NSR_TKEO,756,1.2305033994708994,0.07315588173031304,1.2287,0.94431,1.403,0.10230000000000006
dataset1,record_overall,,VFER_NSR_SEO,756,1.2662003968253968,0.08593177063892223,1.2619,1.0768,1.622,0.12019999999999986
dataset1,record_overall,,IMF_SNR_SEO,756,59.852390947089944,125.77880146119796,16.60135,0.068452,1116.8471,47.419675000000005
dataset1,record_overall,,IMF_SNR_TKEO,756,2.1475745275132274,2.2954949803304583,1.509,0.0054698,15.7891,1.9872399999999997
dataset1,record_overall,,IMF_SNR_entropy,756,12.405694933862433,11.105028457362232,9.2964,0.32276,82.0532,11.635575
dataset1,record_overall,,IMF_NSR_SEO,756,0.21046068650793648,0.0632676075948383,0.201125,0.070012,0.5392,0.08487499999999998
dataset1,record_overall,,IMF_NSR_TKEO,756,12.162500264550266,9.990320848914955,9.019449999999999,1.6139,95.8565,7.483725000000001
dataset1,record_overall,,IMF_NSR_entropy,756,0.18015987698412697,0.03310951351127133,0.17757499999999998,0.088559,0.31939,0.043312499999999976
dataset1,record_overall,,mean_Log_energy,756,9.832617724867726,0.5424211255415458,9.9132,5.7003,10.8774,0.639149999999999
dataset1,record_overall,,mean_MFCC_0th_coef,756,14.938332275132275,2.2529547600601005,15.080649999999999,5.2457,21.2772,2.7491500000000038
dataset1,record_overall,,mean_MFCC_1st_coef,756,6.294859589947088,1.6184352953536902,6.39445,0.59306,11.5024,2.04
dataset1,record_overall,,mean_MFCC_2nd_coef,756,1.263836388941799,1.6654137345729862,1.37175,-3.5566,5.7584,2.3327575
dataset1,record_overall,,mean_MFCC_3rd_coef,756,0.1944285560846561,1.621387691743989,0.163815,-4.6201,4.9579,2.3006275
dataset1,record_overall,,mean_MFCC_4th_coef,756,-1.4260499426851851,1.268751367717595,-1.41645,-5.0272,2.6063,1.6690225
dataset1,record_overall,,mean_MFCC_5th_coef,756,-0.8044900112301587,1.046417902964966,-0.850205,-4.1991,3.1962,1.3860474999999999
dataset1,record_overall,,mean_MFCC_6th_coef,756,-1.1844183444444443,0.8422175362848385,-1.17285,-3.9836,1.35,1.0911975000000003
dataset1,record_overall,,mean_MFCC_7th_coef,756,0.10661448835978837,0.8170266221137114,0.114595,-2.4106,3.3176,1.1198375
dataset1,record_overall,,mean_MFCC_8th_coef,756,0.40520934166666667,0.8416284132481144,0.40066999999999997,-2.8508,2.9268,1.04310225
dataset1,record_overall,,mean_MFCC_9th_coef,756,0.09813846322751323,0.8216758146708101,0.09383849999999999,-2.2336,2.2019,1.190135
dataset1,record_overall,,mean_MFCC_10th_coef,756,-0.6845745510846561,0.7408499968744987,-0.72386,-2.4756,1.692,0.927475
dataset1,record_overall,,mean_MFCC_11th_coef,756,-0.3194368548941799,0.596487619650699,-0.363125,-2.4826,2.1358,0.77019675
dataset1,record_overall,,mean_MFCC_12th_coef,756,-0.10897960661375662,0.6233957144954341,-0.115905,-2.2049,1.6515,0.8341424999999999
dataset1,record_overall,,mean_delta_log_energy,756,-0.0013455865687830688,0.0055201590117811205,-0.0009989,-0.062296,0.05487,0.0033886899999999998
dataset1,record_overall,,mean_0th_delta,756,-0.003914752023809524,0.013602248173913973,-0.00328515,-0.13796,0.13204,0.010772325
dataset1,record_overall,,mean_1st_delta,756,-0.0005971080291005291,0.0051208377527017564,-0.00036679,-0.029891,0.030142,0.00534655
dataset1,record_overall,,mean_2nd_delta,756,0.001012143208994709,0.0049820960592019525,0.000655145,-0.01745,0.026296,0.005661
dataset1,record_overall,,mean_3rd_delta,756,0.0004177411507936508,0.004078373363168392,0.000397485,-0.014184,0.017117,0.004576375000000001
dataset1,record_overall,,mean_4th_delta,756,0.00017474996031746032,0.003449696983771625,0.000167905,-0.012953,0.022698,0.0041769
dataset1,record_overall,,mean_5th_delta,756,0.0002938305687830688,0.0035523878504497303,6.654999999999999e-05,-0.013641,0.013839,0.004284425
dataset1,record_overall,,mean_6th_delta,756,0.0008240223941798943,0.0037071296415197557,0.00074128,-0.015659,0.037031,0.004074425
dataset1,record_overall,,mean_7th_delta,756,4.7287791005291015e-05,0.0028996901608860934,-0.000114985,-0.010173,0.014501,0.0034307
dataset1,record_overall,,mean_8th_delta,756,-0.00036603226190476195,0.002823903285039286,-0.00027156,-0.020084,0.011137,0.0032268
dataset1,record_overall,,mean_9th_delta,756,0.00038301732804232804,0.002742636490096819,0.000286875,-0.014449,0.017574,0.0032109499999999997
dataset1,record_overall,,mean_10th_delta,756,0.0001312912962962963,0.002663156648423202,1.2495e-05,-0.0096178,0.019577,0.0032733
dataset1,record_overall,,mean_11th_delta,756,2.588283201058201e-05,0.0025126920661847703,-8.525e-05,-0.0090463,0.010756,0.00315555
dataset1,record_overall,,mean_12th_delta,756,0.00016891056878306877,0.002332646166495361,0.00019976,-0.012336,0.011336,0.002737425
