dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_only,Logistic Regression,1,fold,153,51,0.8169934640522876,0.7338056680161944,0.8097165991902835,0.9035087719298246,0.5641025641025641,0.8583333333333333,0.9035087719298246,0.8803418803418803
dataset1,Dataset 1,acoustic_only,SVM-RBF,1,fold,153,51,0.8954248366013072,0.8286099865047234,0.9172289698605488,0.9649122807017544,0.6923076923076923,0.9016393442622951,0.9649122807017544,0.9322033898305084
dataset1,Dataset 1,acoustic_only,Random Forest,1,fold,153,51,0.8888888888888888,0.782051282051282,0.9261133603238866,1.0,0.5641025641025641,0.8702290076335878,1.0,0.9306122448979591
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,1,fold,153,51,0.8169934640522876,0.7338056680161944,0.8043184885290148,0.9035087719298246,0.5641025641025641,0.8583333333333333,0.9035087719298246,0.8803418803418803
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,1,fold,153,51,0.8954248366013072,0.8286099865047234,0.9167791273054431,0.9649122807017544,0.6923076923076923,0.9016393442622951,0.9649122807017544,0.9322033898305084
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,1,fold,153,51,0.8758169934640523,0.7648448043184886,0.9231893837156995,0.9912280701754386,0.5384615384615384,0.8625954198473282,0.9912280701754386,0.9224489795918367
dataset1,Dataset 1,acoustic_only,Logistic Regression,2,fold,150,50,0.74,0.6746361746361746,0.8115038115038116,0.8108108108108109,0.5384615384615384,0.8333333333333334,0.8108108108108109,0.821917808219178
dataset1,Dataset 1,acoustic_only,SVM-RBF,2,fold,150,50,0.7866666666666666,0.7227997227997228,0.8232848232848233,0.8558558558558559,0.5897435897435898,0.8558558558558559,0.8558558558558559,0.8558558558558559
dataset1,Dataset 1,acoustic_only,Random Forest,2,fold,150,50,0.76,0.6382536382536382,0.797990297990298,0.8918918918918919,0.38461538461538464,0.8048780487804879,0.8918918918918919,0.8461538461538461
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,2,fold,150,50,0.7466666666666667,0.6874566874566874,0.8091938091938092,0.8108108108108109,0.5641025641025641,0.8411214953271028,0.8108108108108109,0.8256880733944955
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,2,fold,150,50,0.7866666666666666,0.7227997227997228,0.823053823053823,0.8558558558558559,0.5897435897435898,0.8558558558558559,0.8558558558558559,0.8558558558558559
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,2,fold,150,50,0.78,0.66008316008316,0.8076923076923077,0.9099099099099099,0.41025641025641024,0.8145161290322581,0.9099099099099099,0.8595744680851064
dataset1,Dataset 1,acoustic_only,Logistic Regression,3,fold,150,50,0.76,0.6615497076023391,0.7246588693957114,0.8508771929824561,0.4722222222222222,0.8362068965517241,0.8508771929824561,0.8434782608695652
dataset1,Dataset 1,acoustic_only,SVM-RBF,3,fold,150,50,0.8533333333333334,0.7134502923976608,0.7945906432748538,0.9824561403508771,0.4444444444444444,0.8484848484848485,0.9824561403508771,0.9105691056910569
dataset1,Dataset 1,acoustic_only,Random Forest,3,fold,150,50,0.8666666666666667,0.7317251461988303,0.86817738791423,0.9912280701754386,0.4722222222222222,0.8560606060606061,0.9912280701754386,0.9186991869918699
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,3,fold,150,50,0.7666666666666667,0.6754385964912281,0.719785575048733,0.8508771929824561,0.5,0.8434782608695652,0.8508771929824561,0.8471615720524017
