dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_only,Logistic Regression,1,fold,153,51,0.8235294117647058,0.7297570850202428,0.9048582995951416,0.9210526315789473,0.5384615384615384,0.8536585365853658,0.9210526315789473,0.8860759493670886
dataset1,Dataset 1,acoustic_only,SVM-RBF,1,fold,153,51,0.9215686274509803,0.8714574898785425,0.9554655870445344,0.9736842105263158,0.7692307692307693,0.925,0.9736842105263158,0.9487179487179487
dataset1,Dataset 1,acoustic_only,Random Forest,1,fold,153,51,0.9019607843137255,0.8076923076923077,0.9331983805668016,1.0,0.6153846153846154,0.8837209302325582,1.0,0.9382716049382716
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),1,fold,153,51,0.8823529411764706,0.7945344129554657,0.9352226720647774,0.9736842105263158,0.6153846153846154,0.8809523809523809,0.9736842105263158,0.925
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,1,fold,153,51,0.8235294117647058,0.7297570850202428,0.8846153846153847,0.9210526315789473,0.5384615384615384,0.8536585365853658,0.9210526315789473,0.8860759493670886
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,1,fold,153,51,0.9215686274509803,0.8714574898785425,0.9534412955465588,0.9736842105263158,0.7692307692307693,0.925,0.9736842105263158,0.9487179487179487
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,1,fold,153,51,0.8627450980392157,0.7560728744939271,0.9311740890688259,0.9736842105263158,0.5384615384615384,0.8604651162790697,0.9736842105263158,0.9135802469135802
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),1,fold,153,51,0.8823529411764706,0.7945344129554657,0.9352226720647774,0.9736842105263158,0.6153846153846154,0.8809523809523809,0.9736842105263158,0.925
dataset1,Dataset 1,acoustic_only,Logistic Regression,2,fold,150,50,0.72,0.6361746361746362,0.8149688149688149,0.8108108108108109,0.46153846153846156,0.8108108108108109,0.8108108108108109,0.8108108108108109
dataset1,Dataset 1,acoustic_only,SVM-RBF,2,fold,150,50,0.76,0.6632016632016633,0.8357588357588358,0.8648648648648649,0.46153846153846156,0.8205128205128205,0.8648648648648649,0.8421052631578947
dataset1,Dataset 1,acoustic_only,Random Forest,2,fold,150,50,0.78,0.6517671517671518,0.814968814968815,0.918918918918919,0.38461538461538464,0.8095238095238095,0.918918918918919,0.8607594936708861
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),2,fold,150,50,0.8,0.6652806652806653,0.8253638253638255,0.9459459459459459,0.38461538461538464,0.813953488372093,0.9459459459459459,0.875
