dataset,dataset_display_name,feature_set,model,level,fold,summary,tn,fp,fn,tp
dataset1,Dataset 1,acoustic_only,Logistic Regression,record,1,fold,22,17,11,103
dataset1,Dataset 1,acoustic_only,Logistic Regression,subject,1,fold,7,6,3,35
dataset1,Dataset 1,acoustic_only,SVM-RBF,record,1,fold,27,12,4,110
dataset1,Dataset 1,acoustic_only,SVM-RBF,subject,1,fold,10,3,1,37
dataset1,Dataset 1,acoustic_only,Random Forest,record,1,fold,22,17,0,114
dataset1,Dataset 1,acoustic_only,Random Forest,subject,1,fold,8,5,0,38
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),record,1,fold,23,16,1,113
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),subject,1,fold,8,5,1,37
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,record,1,fold,22,17,11,103
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,subject,1,fold,7,6,3,35
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,record,1,fold,27,12,4,110
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,subject,1,fold,10,3,1,37
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,record,1,fold,21,18,1,113
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,subject,1,fold,7,6,1,37
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),record,1,fold,22,17,2,112
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),subject,1,fold,8,5,1,37
dataset1,Dataset 1,acoustic_only,Logistic Regression,record,2,fold,21,18,21,90
dataset1,Dataset 1,acoustic_only,Logistic Regression,subject,2,fold,6,7,7,30
dataset1,Dataset 1,acoustic_only,SVM-RBF,record,2,fold,23,16,16,95
dataset1,Dataset 1,acoustic_only,SVM-RBF,subject,2,fold,6,7,5,32
dataset1,Dataset 1,acoustic_only,Random Forest,record,2,fold,15,24,12,99
dataset1,Dataset 1,acoustic_only,Random Forest,subject,2,fold,5,8,3,34
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),record,2,fold,17,22,6,105
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),subject,2,fold,5,8,2,35
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,record,2,fold,22,17,21,90
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,subject,2,fold,6,7,7,30
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,record,2,fold,23,16,16,95
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,subject,2,fold,6,7,5,32
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,record,2,fold,16,23,10,101
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,subject,2,fold,5,8,3,34
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),record,2,fold,16,23,4,107
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),subject,2,fold,5,8,2,35
dataset1,Dataset 1,acoustic_only,Logistic Regression,record,3,fold,17,19,17,97
dataset1,Dataset 1,acoustic_only,Logistic Regression,subject,3,fold,6,6,4,34
dataset1,Dataset 1,acoustic_only,SVM-RBF,record,3,fold,16,20,2,112
dataset1,Dataset 1,acoustic_only,SVM-RBF,subject,3,fold,5,7,0,38
dataset1,Dataset 1,acoustic_only,Random Forest,record,3,fold,17,19,1,113
dataset1,Dataset 1,acoustic_only,Random Forest,subject,3,fold,6,6,0,38
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),record,3,fold,15,21,0,114
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),subject,3,fold,5,7,0,38
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,record,3,fold,18,18,17,97
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,subject,3,fold,7,5,3,35
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,record,3,fold,16,20,2,112
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,subject,3,fold,5,7,0,38
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,record,3,fold,17,19,1,113
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,subject,3,fold,6,6,0,38
