feature,category,selected_folds,selection_frequency,mean_abs_l1_coefficient,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,l1_selected_any,l1_selected_near_constant
std_delta_delta_log_energy,Delta / Delta-delta,5,1.0,0.6528054453237668,0.007949844354702586,251,0,False,False,True,False
tqwt_kurtosisValue_dec_33,TQWT,5,1.0,0.44732782360382217,13.327562626073325,252,0,False,False,True,False
tqwt_meanValue_dec_5,TQWT,5,1.0,0.24463386133170922,5.615004514295451e-21,251,0,False,True,True,True
tqwt_medianValue_dec_33,TQWT,5,1.0,0.21849446108419218,0.0011301066339528174,252,0,False,False,True,False
mean_MFCC_6th_coef,MFCC,5,1.0,0.21841003116141144,0.7931158759691571,252,0,False,False,True,False
tqwt_meanValue_dec_11,TQWT,5,1.0,0.17943857871184415,4.540279266019237e-20,250,0,False,True,True,True
tqwt_medianValue_dec_10,TQWT,5,1.0,0.16134675885252642,4.833456965949474e-05,251,0,False,False,True,False
IMF_SNR_SEO,Other,5,1.0,0.0846713270630136,109.66880282630231,252,0,False,False,True,False
tqwt_meanValue_dec_17,TQWT,5,1.0,0.06638728390566224,2.412253477762061e-19,251,0,False,True,True,True
tqwt_entropy_log_dec_26,TQWT,4,0.8,0.31178181271040123,4478.311167618668,252,0,False,False,True,False
std_9th_delta_delta,Delta / Delta-delta,4,0.8,0.27672925287779937,0.004621840252114953,252,0,False,False,True,False
tqwt_kurtosisValue_dec_27,TQWT,4,0.8,0.26962656318783973,37.08850984852903,251,0,False,False,True,False
det_LT_entropy_shannon_4_coef,Wavelet,4,0.8,0.2576317472406252,1.4484434094582428,252,0,False,False,True,False
tqwt_medianValue_dec_25,TQWT,4,0.8,0.25411792957920154,0.0025847932433931435,181,0,False,False,True,False
mean_2nd_delta,Delta / Delta-delta,4,0.8,0.2207408063244732,0.0034419352490476425,252,0,False,False,True,False
tqwt_medianValue_dec_9,TQWT,4,0.8,0.21286016880988318,3.494083068116639e-05,251,0,False,False,True,False
tqwt_medianValue_dec_13,TQWT,4,0.8,0.2117508910053349,0.00010194166317496506,251,0,False,False,True,False
tqwt_skewnessValue_dec_14,TQWT,4,0.8,0.1856792561954333,0.014718922398993445,252,0,False,False,True,False
