feature,category,shap_mean_abs_mean,shap_mean_abs_std,rank_shap_mean_abs,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
std_8th_delta_delta,Delta / Delta-delta,0.22222105,0.06124428,1.0,0.00461733108569369,252,0,False,False
std_9th_delta_delta,Delta / Delta-delta,0.16341962,0.11273548,2.0,0.004621840252114953,252,0,False,False
std_delta_delta_log_energy,Delta / Delta-delta,0.15089662,0.094648734,3.0,0.007949844354702586,251,0,False,False
mean_2nd_delta,Delta / Delta-delta,0.10647273,0.06945186,4.0,0.0034419352490476425,252,0,False,False
tqwt_kurtosisValue_dec_20,TQWT,0.08354702,0.0717334,5.0,0.7375061873366606,250,0,False,False
std_7th_delta,Delta / Delta-delta,0.08221401,0.09487678,6.0,0.011828916751884024,252,0,False,False
tqwt_kurtosisValue_dec_34,TQWT,0.08123456,0.07585047,7.0,12.349700187161492,252,0,False,False
tqwt_entropy_log_dec_27,TQWT,0.077103294,0.07221466,8.0,3943.004753145414,252,0,False,False
mean_delta_log_energy,Delta / Delta-delta,0.073251866,0.05429598,9.0,0.0038365898807469654,252,0,False,False
tqwt_kurtosisValue_dec_18,TQWT,0.072784565,0.082307,10.0,0.9505442648065496,252,0,False,False
tqwt_energy_dec_25,TQWT,0.07187187,0.11067736,11.0,0.08709537976825013,252,0,False,False
std_6th_delta_delta,Delta / Delta-delta,0.06873751,0.057979647,12.0,0.006211563348181346,252,0,False,False
tqwt_kurtosisValue_dec_33,TQWT,0.06374007,0.049651805,13.0,13.327562626073325,252,0,False,False
tqwt_entropy_log_dec_11,TQWT,0.06220944,0.056602832,14.0,43594.07966711276,252,0,False,False
tqwt_medianValue_dec_16,TQWT,0.058575302,0.07234548,15.0,0.00044283047063248634,178,0,False,False
std_delta_log_energy,Delta / Delta-delta,0.057679255,0.043715216,16.0,0.02573179818241642,252,0,False,False
tqwt_entropy_shannon_dec_12,TQWT,0.051596522,0.07132639,17.0,189.06706093962842,252,0,False,False
tqwt_meanValue_dec_16,TQWT,0.05154838,0.041882627,18.0,2.2119459912516254e-19,251,0,False,True
mean_5th_delta,Delta / Delta-delta,0.05145196,0.041712623,19.0,0.0024609748380686773,252,0,False,False
std_7th_delta_delta,Delta / Delta-delta,0.051104266,0.025221588,20.0,0.005503259858658112,251,0,False,False
tqwt_entropy_log_dec_12,TQWT,0.050235093,0.034667164,21.0,40196.01688188994,252,0,False,False
tqwt_meanValue_dec_5,TQWT,0.045828324,0.042010218,22.0,5.615004514295451e-21,251,0,False,True
std_8th_delta,Delta / Delta-delta,0.0444246,0.022714902,23.0,0.009980204270499638,252,0,False,False
tqwt_entropy_log_dec_33,TQWT,0.043871325,0.026119752,24.0,864.6311079543106,252,0,False,False
std_10th_delta_delta,Delta / Delta-delta,0.04337055,0.04365577,25.0,0.004764361229370594,252,0,False,False
tqwt_TKEO_mean_dec_12,TQWT,0.041430246,0.012780918,26.0,0.004459978380606668,252,0,False,False
tqwt_skewnessValue_dec_10,TQWT,0.041221425,0.047133066,27.0,0.10140951294896586,252,0,False,False
tqwt_energy_dec_6,TQWT,0.03922301,0.048469286,28.0,0.0033658305622442626,251,0,False,False
GNE_NSR_SEO,Nonlinear,0.03888331,0.030431138,29.0,0.032493557622828045,237,0,False,False
std_6th_delta,Delta / Delta-delta,0.03858299,0.047248587,30.0,0.01316788492577514,252,0,False,False
tqwt_skewnessValue_dec_12,TQWT,0.034040943,0.03352166,31.0,0.02358430477211904,252,0,False,False
std_MFCC_4th_coef,MFCC,0.033399634,0.034798753,32.0,0.12177525347669915,252,0,False,False
tqwt_skewnessValue_dec_24,TQWT,0.033279456,0.03139575,33.0,0.07653505322093752,252,0,False,False
app_LT_TKEO_mean_4_coef,Wavelet,0.03303846,0.03363903,34.0,3.5152078680658954,252,0,False,False
tqwt_TKEO_mean_dec_6,TQWT,0.03260827,0.036366686,35.0,0.00038413855101637095,250,0,False,False
IMF_SNR_SEO,Other,0.030412102,0.03098517,36.0,109.66880282630231,252,0,False,False
mean_MFCC_3rd_coef,MFCC,0.03015002,0.041469555,37.0,1.5857431583700954,251,0,False,False
tqwt_energy_dec_21,TQWT,0.02946518,0.027723055,38.0,0.03812992704606898,252,0,False,False
tqwt_medianValue_dec_11,TQWT,0.025015254,0.021078296,39.0,5.4086610324211245e-05,252,0,False,False
std_10th_delta,Delta / Delta-delta,0.024567679,0.01607644,40.0,0.010080985566828982,252,0,False,False
tqwt_entropy_shannon_dec_25,TQWT,0.023414228,0.021384351,41.0,314.56976251996554,252,0,False,False
app_LT_TKEO_mean_3_coef,Wavelet,0.023353938,0.027890362,42.0,1.270521749922571,252,0,False,False
mean_MFCC_2nd_coef,MFCC,0.023090947,0.023151882,43.0,1.6008244386502515,251,0,False,False
DFA,Nonlinear,0.02307358,0.021844205,44.0,0.06616222630518774,251,0,False,False
tqwt_skewnessValue_dec_33,TQWT,0.021131147,0.013366452,45.0,0.7399390928329563,252,0,False,False
tqwt_skewnessValue_dec_35,TQWT,0.020983903,0.02955699,46.0,0.8513657077666263,252,0,False,False
tqwt_minValue_dec_11,TQWT,0.020762343,0.015976176,47.0,0.05930434994079044,252,0,False,False
tqwt_entropy_log_dec_25,TQWT,0.020277547,0.023917954,48.0,4165.99171331461,252,0,False,False
tqwt_energy_dec_7,TQWT,0.0202269,0.0300937,49.0,0.002136437650228028,251,0,False,False
tqwt_energy_dec_27,TQWT,0.01994009,0.00944496,50.0,0.08510246952333701,251,0,False,False
tqwt_energy_dec_26,TQWT,0.01972062,0.022559458,51.0,0.07920539541597234,252,0,False,False
tqwt_kurtosisValue_dec_26,TQWT,0.019581523,0.026571766,52.0,38.412282103906236,250,0,False,False
tqwt_energy_dec_28,TQWT,0.019467194,0.020744588,53.0,0.04930595189226657,252,0,False,False
mean_11th_delta_delta,Delta / Delta-delta,0.01817898,0.021505646,54.0,0.00019327318731351015,252,0,False,False
tqwt_kurtosisValue_dec_36,TQWT,0.018066,0.02768181,55.0,29.402826898739306,252,0,False,False
mean_10th_delta_delta,Delta / Delta-delta,0.017342608,0.008415869,56.0,0.00018771044169963195,252,0,False,False
tqwt_skewnessValue_dec_8,TQWT,0.017197913,0.027916752,57.0,0.021672094071865215,252,0,False,False
tqwt_medianValue_dec_1,TQWT,0.017161245,0.017873742,58.0,1.4706389855037521e-06,250,0,False,False
tqwt_entropy_log_dec_13,TQWT,0.016966581,0.0323479,59.0,31805.699008352247,252,0,False,False
tqwt_meanValue_dec_11,TQWT,0.016884288,0.017186247,60.0,4.540279266019237e-20,250,0,False,True
tqwt_energy_dec_11,TQWT,0.016446617,0.009746452,61.0,0.005671576828616317,252,0,False,False
tqwt_minValue_dec_12,TQWT,0.016369069,0.022447098,62.0,0.08771895730578913,252,0,False,False
tqwt_medianValue_dec_10,TQWT,0.016315874,0.015927115,63.0,4.833456965949474e-05,251,0,False,False
tqwt_skewnessValue_dec_28,TQWT,0.015799126,0.014970852,64.0,1.0961963285777472,252,0,False,False
tqwt_medianValue_dec_12,TQWT,0.015369071,0.018498017,65.0,4.1909526755997594e-05,252,0,False,False
tqwt_meanValue_dec_18,TQWT,0.015050517,0.008944308,66.0,6.511300175078883e-19,252,0,False,True
tqwt_stdValue_dec_13,TQWT,0.014592128,0.021993669,67.0,0.05097187883501582,252,0,False,False
tqwt_skewnessValue_dec_3,TQWT,0.01457046,0.016898962,68.0,0.09681189419714974,252,0,False,False
std_9th_delta,Delta / Delta-delta,0.014505789,0.014242615,69.0,0.009858824007424775,252,0,False,False
numPulses,Other,0.014484051,0.009908418,70.0,93.04319146311943,225,0,False,False
det_LT_entropy_shannon_9_coef,Wavelet,0.01378409,0.0240925,71.0,2.6445570651120374,252,0,False,False
tqwt_TKEO_std_dec_19,TQWT,0.012820611,0.0030743862,72.0,0.08996087995660593,252,0,False,False
tqwt_TKEO_mean_dec_25,TQWT,0.012769814,0.008152994,73.0,0.5619322041280519,252,0,False,False
tqwt_skewnessValue_dec_25,TQWT,0.012558821,0.012280961,74.0,0.16733850979797452,252,0,False,False
tqwt_entropy_shannon_dec_26,TQWT,0.0119042415,0.01615631,75.0,353.94443739562166,252,0,False,False
tqwt_medianValue_dec_17,TQWT,0.011820376,0.008532441,76.0,0.0006173277965498204,178,0,False,False
tqwt_medianValue_dec_29,TQWT,0.011738805,0.011297194,77.0,0.0035881554950552945,252,0,False,False
tqwt_medianValue_dec_27,TQWT,0.01172157,0.026210228,78.0,0.004395307432193136,252,0,False,False
tqwt_entropy_shannon_dec_36,TQWT,0.011508534,0.022409275,79.0,9.138155181902839,252,0,False,False
tqwt_TKEO_mean_dec_16,TQWT,0.011497504,0.0257092,80.0,0.08585792630812342,252,0,False,False
std_MFCC_3rd_coef,MFCC,0.011204581,0.012937065,81.0,0.14288122568917566,251,0,False,False
tqwt_skewnessValue_dec_30,TQWT,0.011188232,0.022287106,82.0,0.19366792697456126,252,0,False,False
tqwt_maxValue_dec_12,TQWT,0.010953907,0.0196482,83.0,0.08766160599587049,252,0,False,False
tqwt_stdValue_dec_16,TQWT,0.010926198,0.015312437,84.0,0.11810264475912499,252,0,False,False
tqwt_medianValue_dec_30,TQWT,0.010850926,0.02036362,85.0,0.0005991206559692032,252,0,False,False
mean_MFCC_5th_coef,MFCC,0.01084489,0.014741586,86.0,0.9970573844583144,252,0,False,False
ppq5Jitter,Jitter,0.01050918,0.011878426,87.0,0.0015634032560503527,208,0,False,False
tqwt_kurtosisValue_dec_12,TQWT,0.010447622,0.01328603,88.0,22.638960153872596,252,0,False,False
tqwt_entropy_log_dec_1,TQWT,0.009853616,0.0068231765,89.0,274780.58555136004,252,0,False,False
