feature,category,tree_importance_mean,tree_importance_std,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
std_delta_delta_log_energy,Delta / Delta-delta,0.006895918526859166,0.0025417419751887246,0.007949844354702586,251,0,False,False
tqwt_kurtosisValue_dec_26,TQWT,0.006823667376210013,0.0023687740683990843,38.412282103906236,250,0,False,False
tqwt_minValue_dec_12,TQWT,0.006314008138996981,0.0017900981093541383,0.08771895730578913,252,0,False,False
std_9th_delta_delta,Delta / Delta-delta,0.0061206080807831575,0.00099808704992045,0.004621840252114953,252,0,False,False
tqwt_kurtosisValue_dec_27,TQWT,0.005693862482730949,0.0019357540306944724,37.08850984852903,251,0,False,False
tqwt_minValue_dec_11,TQWT,0.005583767334117623,0.001667278125895201,0.05930434994079044,252,0,False,False
mean_MFCC_2nd_coef,MFCC,0.005431947073541554,0.0017505392215847087,1.6008244386502515,251,0,False,False
tqwt_maxValue_dec_12,TQWT,0.0054239420591614676,0.0011682937995799749,0.08766160599587049,252,0,False,False
std_delta_log_energy,Delta / Delta-delta,0.005276407895302001,0.001964993290538262,0.02573179818241642,252,0,False,False
tqwt_TKEO_std_dec_12,TQWT,0.005205633367260978,0.001592754990940121,0.0036730653855481885,252,0,False,False
tqwt_stdValue_dec_12,TQWT,0.005066194027629423,0.001301006103480226,0.027526241639717116,252,0,False,False
std_8th_delta,Delta / Delta-delta,0.004999015367742389,0.0012662580524394735,0.009980204270499638,252,0,False,False
tqwt_entropy_shannon_dec_12,TQWT,0.0048860279042451694,0.0010646040345952505,189.06706093962842,252,0,False,False
std_6th_delta_delta,Delta / Delta-delta,0.004805861642829465,0.0007516088268099283,0.006211563348181346,252,0,False,False
tqwt_energy_dec_12,TQWT,0.004770760689358114,0.0014893902193544764,0.011263559896773849,252,0,False,False
std_8th_delta_delta,Delta / Delta-delta,0.0047352700195450945,0.0011586248430087405,0.00461733108569369,252,0,False,False
std_9th_delta,Delta / Delta-delta,0.004703828848728009,0.0003756775721606621,0.009858824007424775,252,0,False,False
tqwt_maxValue_dec_11,TQWT,0.004533399793169336,0.0008426002452208636,0.05724136723373308,252,0,False,False
tqwt_entropy_shannon_dec_11,TQWT,0.004492973268193884,0.001610290901688824,71.19574580501374,252,0,False,False
std_10th_delta_delta,Delta / Delta-delta,0.0044824529729040555,0.0009564766242030279,0.004764361229370594,252,0,False,False
tqwt_TKEO_std_dec_11,TQWT,0.004470460609530726,0.0016328919411038826,0.0016180764896734144,252,0,False,False
tqwt_stdValue_dec_11,TQWT,0.0044519159512144526,0.0012128990634742794,0.0132697113858547,252,0,False,False
std_6th_delta,Delta / Delta-delta,0.004435416417629627,0.0008679689793843899,0.01316788492577514,252,0,False,False
tqwt_kurtosisValue_dec_36,TQWT,0.0043537085297502874,0.0018467927592392874,29.402826898739306,252,0,False,False
std_7th_delta,Delta / Delta-delta,0.004278284542742018,0.001190081496210748,0.011828916751884024,252,0,False,False
tqwt_TKEO_mean_dec_12,TQWT,0.0042335137306610746,0.0009623398340217506,0.004459978380606668,252,0,False,False
std_7th_delta_delta,Delta / Delta-delta,0.00414867323311018,0.0009240037443128924,0.005503259858658112,251,0,False,False
std_10th_delta,Delta / Delta-delta,0.0038140062787381163,0.0008287323192214485,0.010080985566828982,252,0,False,False
tqwt_maxValue_dec_13,TQWT,0.003652173072379754,0.0010031686369119561,0.14673285248845624,252,0,False,False
tqwt_entropy_log_dec_12,TQWT,0.0036100870133002156,0.000702736801701185,40196.01688188994,252,0,False,False
tqwt_entropy_log_dec_27,TQWT,0.003400952767288124,0.000399469618779966,3943.004753145414,252,0,False,False
tqwt_energy_dec_11,TQWT,0.00337954960437439,0.0007667607343898927,0.005671576828616317,252,0,False,False
tqwt_entropy_shannon_dec_13,TQWT,0.00334098317833978,0.0008149839731518043,351.7856662680903,252,0,False,False
tqwt_minValue_dec_13,TQWT,0.0031999991547089434,0.0008161860142073042,0.14875148581775408,252,0,False,False
std_11th_delta_delta,Delta / Delta-delta,0.0031129382116999197,0.0004887938089680634,0.0039336276621706155,250,0,False,False
tqwt_entropy_log_dec_26,TQWT,0.003044632164896324,0.0009376836471238855,4478.311167618668,252,0,False,False
tqwt_entropy_log_dec_35,TQWT,0.003038628683712643,0.001270403029248958,718.2643483755425,252,0,False,False
std_12th_delta,Delta / Delta-delta,0.0030193087322440766,0.0005997324840528269,0.008286445446454242,252,0,False,False
tqwt_meanValue_dec_36,TQWT,0.0029960950018095836,0.001038125504891851,0.007196318312881078,252,0,False,False
tqwt_entropy_log_dec_11,TQWT,0.002993070401365598,0.0006501900982388733,43594.07966711276,252,0,False,False
apq11Shimmer,Shimmer,0.0029881345483136765,0.0008789344468956382,0.028503556830923312,250,0,False,False
tqwt_energy_dec_15,TQWT,0.002974264504050114,0.0006899739098281898,0.04869269130014433,252,0,False,False
std_11th_delta,Delta / Delta-delta,0.0028967366881141043,0.00031861643230095667,0.00861699706466596,250,0,False,False
tqwt_kurtosisValue_dec_35,TQWT,0.0028273347419942065,0.0008739894045667435,11.497168524908826,252,0,False,False
tqwt_TKEO_std_dec_13,TQWT,0.0027562953595642145,0.0009867488721179585,0.013966863816000688,252,0,False,False
std_12th_delta_delta,Delta / Delta-delta,0.0025812399641355183,0.0007626369062816814,0.003797504165142989,251,0,False,False
tqwt_TKEO_mean_dec_11,TQWT,0.0025719100800321772,0.0009385562765133994,0.0011949459105969399,252,0,False,False
tqwt_stdValue_dec_13,TQWT,0.002552891715789606,0.000844087289989978,0.05097187883501582,252,0,False,False
tqwt_entropy_shannon_dec_16,TQWT,0.0024767903454447704,0.0007106536592117036,504.9913671327967,252,0,False,False
std_4th_delta,Delta / Delta-delta,0.002441560356216487,0.0008302028143917275,0.01688251716114789,252,0,False,False
tqwt_maxValue_dec_10,TQWT,0.0024202454163818944,0.0003995505793760157,0.051509879198250896,252,0,False,False
tqwt_TKEO_mean_dec_13,TQWT,0.0024069791565391628,0.0005669454679030002,0.021324691875387308,252,0,False,False
tqwt_entropy_shannon_dec_17,TQWT,0.002360860664853045,0.001235174340048962,475.37680090506956,252,0,False,False
tqwt_entropy_log_dec_33,TQWT,0.002360571922945357,0.0004723964990086896,864.6311079543106,252,0,False,False
tqwt_entropy_shannon_dec_34,TQWT,0.0023117659432059677,0.0005390750464350516,5.328345081904087,252,0,False,False
std_Log_energy,Other,0.0023057463703023244,0.0010023660756123152,0.2700060997565047,252,0,False,False
tqwt_medianValue_dec_12,TQWT,0.0022951985826165323,0.0005019175377740562,4.1909526755997594e-05,252,0,False,False
tqwt_kurtosisValue_dec_28,TQWT,0.0022805021313739384,0.00027482630666768223,35.45120028460854,251,0,False,False
tqwt_kurtosisValue_dec_34,TQWT,0.0022776556372992355,0.0007741859964220947,12.349700187161492,252,0,False,False
std_4th_delta_delta,Delta / Delta-delta,0.0022706156844621876,0.0005223462998544858,0.008523407440141632,252,0,False,False
mean_2nd_delta,Delta / Delta-delta,0.00226895640666748,0.0005668340172595177,0.0034419352490476425,252,0,False,False
std_5th_delta,Delta / Delta-delta,0.0022540517528788205,0.0007946809173939542,0.01534071838788841,252,0,False,False
std_MFCC_8th_coef,MFCC,0.0022529565051776224,0.0006140855505346127,0.07004229749779552,252,0,False,False
tqwt_minValue_dec_10,TQWT,0.002215355620134964,0.00026674469878929603,0.05220506933656281,252,0,False,False
tqwt_TKEO_std_dec_10,TQWT,0.0022120483179650903,0.0005509438894633747,0.0011223679414086017,250,0,False,False
tqwt_stdValue_dec_10,TQWT,0.002190932314617178,0.0010246850417311437,0.010656595711654325,252,0,False,False
tqwt_skewnessValue_dec_28,TQWT,0.0021904923441331057,0.0004273639958573573,1.0961963285777472,252,0,False,False
tqwt_energy_dec_18,TQWT,0.0021674572921831304,0.00031370219871735313,0.08370314679160336,252,0,False,False
tqwt_medianValue_dec_8,TQWT,0.002159351300660569,0.0004612450098223461,1.427161239380174e-05,250,0,False,False
tqwt_stdValue_dec_9,TQWT,0.0021480979145093895,0.0006468582481091105,0.009246586024190108,252,0,False,False
tqwt_energy_dec_13,TQWT,0.002147844680107306,0.0005078019261363451,0.02702087895035819,252,0,False,False
tqwt_maxValue_dec_7,TQWT,0.002140924480894953,0.00047566884643527544,0.03443987980040896,252,0,False,False
tqwt_stdValue_dec_16,TQWT,0.002139233248817824,0.0008206835343121822,0.11810264475912499,252,0,False,False
tqwt_entropy_log_dec_34,TQWT,0.0021351055713728874,0.0009631574717898985,800.7077750855331,252,0,False,False
tqwt_medianValue_dec_36,TQWT,0.0021195281633407765,0.000604887036777584,0.0073888910563004425,251,0,False,False
tqwt_skewnessValue_dec_27,TQWT,0.002097504848291185,0.0002107654629817227,0.9634290935928078,252,0,False,False
tqwt_TKEO_mean_dec_33,TQWT,0.002095420641664385,0.000131275349194222,0.08092436975875965,251,0,False,False
b4,Formant / Bandwidth,0.0020665907665771625,0.0005639761341738589,417.1509956335488,252,0,False,False
mean_delta_log_energy,Delta / Delta-delta,0.002056767837847627,0.0004760882332069954,0.0038365898807469654,252,0,False,False
tqwt_stdValue_dec_33,TQWT,0.0020551990875630013,0.0005189959497282773,0.05442805797147073,252,0,False,False
tqwt_entropy_shannon_dec_15,TQWT,0.002052359417908578,0.0007522146016989018,450.7331351833436,252,0,False,False
numPulses,Other,0.0020476489473914513,0.0006358523462936287,93.04319146311943,225,0,False,False
tqwt_entropy_shannon_dec_33,TQWT,0.002038190901662906,0.0007436838313693286,18.265499094830542,252,0,False,False
tqwt_stdValue_dec_6,TQWT,0.0020121591127963473,0.0004603987633626336,0.005106525370576986,252,0,False,False
tqwt_stdValue_dec_17,TQWT,0.002004149797475714,0.0009035180670701188,0.14776247425887795,252,0,False,False
app_LT_TKEO_mean_4_coef,Wavelet,0.0019867727232413474,0.0005170776395667387,3.5152078680658954,252,0,False,False
std_5th_delta_delta,Delta / Delta-delta,0.001983987694384271,0.0008751326759112,0.007415900081372007,252,0,False,False
tqwt_stdValue_dec_18,TQWT,0.001977861923230374,0.00020612603025035587,0.16339417313260926,252,0,False,False
mean_MFCC_3rd_coef,MFCC,0.0019663540791209294,0.0004462290145268959,1.5857431583700954,251,0,False,False
tqwt_entropy_log_dec_16,TQWT,0.0019565504604516252,0.0006904056462052803,17673.043732044047,252,0,False,False
tqwt_entropy_log_dec_13,TQWT,0.001953983975163334,0.00045217812390919407,31805.699008352247,252,0,False,False
DFA,Nonlinear,0.0019496150304872714,0.0008022414234653086,0.06616222630518774,251,0,False,False
app_LT_TKEO_mean_7_coef,Wavelet,0.0019380793607082461,0.0004905510530867889,44.00791329708279,252,0,False,False
app_LT_TKEO_mean_5_coef,Wavelet,0.0019327251653275049,0.000602154789015981,8.904619618096758,252,0,False,False
tqwt_minValue_dec_7,TQWT,0.001929851317629496,0.00041344648657256066,0.034138027421739936,252,0,False,False
tqwt_medianValue_dec_22,TQWT,0.001921308324147366,0.0004676139392436981,0.0008950049453173759,251,0,False,False
std_MFCC_6th_coef,MFCC,0.0019137440708308713,0.0006061778833714705,0.10618404146703034,251,0,False,False
tqwt_TKEO_std_dec_14,TQWT,0.0019120386721904255,0.0006110695078616543,0.026646785376021165,252,0,False,False
tqwt_medianValue_dec_31,TQWT,0.0019031148229333567,0.0007451660320233767,0.0009383105204714493,252,0,False,False
tqwt_medianValue_dec_34,TQWT,0.0019030254620873502,0.00035387018515544187,0.0012253388168876138,252,0,False,False
det_LT_entropy_shannon_4_coef,Wavelet,0.001900613385035138,0.0008162805042729856,1.4484434094582428,252,0,False,False
tqwt_stdValue_dec_15,TQWT,0.0018986985466319232,0.0005067527686836329,0.08670107088793993,252,0,False,False
tqwt_stdValue_dec_7,TQWT,0.0018838183370446068,0.000660236428329149,0.005576135344642032,252,0,False,False
app_LT_TKEO_mean_3_coef,Wavelet,0.0018829452638832607,0.0006646010294446307,1.270521749922571,252,0,False,False
tqwt_entropy_shannon_dec_10,TQWT,0.0018749879332841217,0.0006375798745652197,56.14042510809983,252,0,False,False
tqwt_skewnessValue_dec_8,TQWT,0.0018617338592432646,0.0004176835365534025,0.021672094071865215,252,0,False,False
tqwt_energy_dec_6,TQWT,0.001849289068078548,0.0004091474784518445,0.0033658305622442626,251,0,False,False
app_entropy_shannon_9_coef,Wavelet,0.001830626002149164,0.0004231298872381121,2599601571.9418774,252,0,False,False
tqwt_medianValue_dec_33,TQWT,0.0018277576454542141,0.00038669521157557384,0.0011301066339528174,252,0,False,False
