feature,category,mean_pd,mean_healthy,median_pd,median_healthy,mannwhitney_u,p_mannwhitney,welch_t,p_welch,cohens_d,abs_cohens_d,cliffs_delta,abs_cliffs_delta,q_mannwhitney,q_welch,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,q_mannwhitney_scientific,q_welch_scientific
std_delta_delta_log_energy,Delta / Delta-delta,0.01559247039007092,0.008828908854166668,0.013180916666666667,0.0075648166666666666,9605.5,1.0346109586321323e-12,8.374973560774384,8.468822475552009e-15,0.9122563202203609,0.9122563202203609,0.5966589095744681,0.5966589095744681,7.68197669471566e-10,8.01618832282593e-13,0.007949844354702586,251,0,False,False,7.682e-10,8.016e-13
std_delta_log_energy,Delta / Delta-delta,0.042043156737588655,0.024252134895833333,0.03598316666666666,0.02168266666666667,9558.0,2.0430789081690584e-12,7.021492859142569,2.38901007922993e-11,0.7221319220610507,0.7221319220610507,0.5887632978723404,0.5887632978723404,7.68197669471566e-10,1.1976903863872716e-09,0.02573179818241642,252,0,False,False,7.682e-10,1.198e-09
std_9th_delta_delta,Delta / Delta-delta,0.018851384574468086,0.014569046875,0.017415666666666666,0.014129666666666667,9473.0,6.754862531500525e-12,9.266000761983864,2.60492124296128e-17,1.0085179325866538,1.0085179325866538,0.5746343085106383,0.5746343085106383,1.6932188745627984e-09,9.794503873534413e-15,0.004621840252114953,252,0,False,False,1.693e-09,9.795e-15
std_8th_delta_delta,Delta / Delta-delta,0.01940129255319149,0.015114427604166666,0.018682499999999998,0.015142833333333333,9385.0,2.2619977285962288e-11,9.668368334533842,1.0104956105206229e-18,1.0109701471021177,1.0109701471021177,0.5600066489361702,0.5600066489361702,4.25255572976091e-09,7.598926991115084e-16,0.00461733108569369,252,0,False,False,4.253e-09,7.599e-16
std_7th_delta_delta,Delta / Delta-delta,0.020965645744680853,0.01599888333333333,0.0194275,0.0157575,9339.5,4.176147075984536e-11,9.026191999401446,1.1874031005813035e-16,0.977511800983967,0.977511800983967,0.5524434840425532,0.5524434840425532,6.280925202280742e-09,1.7858542632742804e-14,0.005503259858658112,251,0,False,False,6.281e-09,1.786e-14
tqwt_entropy_log_dec_12,TQWT,-167699.97606648935,-131594.268603125,-162680.67986666667,-123505.1511,2767.0,1.1201899150725308e-10,-7.30115674640619,2.694150728627232e-11,-0.9720476530055832,0.9720476530055832,-0.5400598404255319,0.5400598404255319,1.4039713602242386e-08,1.2662508424547992e-09,40196.01688188994,252,0,False,False,1.404e-08,1.266e-09
std_6th_delta_delta,Delta / Delta-delta,0.02254060726950355,0.017102105208333333,0.0205975,0.016502500000000003,9236.0,1.6352329661949703e-10,9.079082571360683,5.270724783426349e-17,0.943249609845638,0.943249609845638,0.5352393617021277,0.5352393617021277,1.7499748747971465e-08,1.1154679352540274e-14,0.006211563348181346,252,0,False,False,1.750e-08,1.115e-14
std_8th_delta,Delta / Delta-delta,0.04094441843971631,0.03197522916666667,0.038747333333333335,0.031837333333333336,9226.0,1.8616753987203686e-10,9.106004776237478,5.933340081138444e-17,0.9726315783717896,0.9726315783717896,0.5335771276595744,0.5335771276595744,1.7499748747971465e-08,1.1154679352540274e-14,0.009980204270499638,252,0,False,False,1.750e-08,1.115e-14
std_9th_delta,Delta / Delta-delta,0.03936703014184397,0.030797447916666665,0.037255166666666666,0.030403833333333335,9196.0,2.740766171756412e-10,8.312821725600568,1.742881288562701e-14,0.9353046159274793,0.9353046159274793,0.5285904255319149,0.5285904255319149,2.2704711887461153e-08,1.3106467289991513e-12,0.009858824007424775,252,0,False,False,2.270e-08,1.311e-12
tqwt_entropy_shannon_dec_12,TQWT,61.334179226595744,217.97208505208334,20.01748333333333,143.85775,2849.0,3.2373532516815814e-10,-4.71260889241262,1.0625859229059309e-05,-0.8847136214315179,0.8847136214315179,-0.5264295212765957,0.5264295212765957,2.2704711887461153e-08,8.413922279170562e-05,189.06706093962842,252,0,False,False,2.270e-08,8.414e-05
tqwt_stdValue_dec_12,TQWT,0.018083909450354613,0.044466663645833335,0.012261133333333334,0.03905616666666667,2851.0,3.3211679622616046e-10,-5.767395942085717,1.4745883319526351e-07,-1.0504297941194096,1.0504297941194096,-0.5260970744680851,0.5260970744680851,2.2704711887461153e-08,2.174294952212513e-06,0.027526241639717116,252,0,False,False,2.270e-08,2.174e-06
tqwt_TKEO_mean_dec_12,TQWT,0.0008941761368794327,0.0040614779687499995,0.00015410166666666666,0.0013725133333333333,2884.0,5.052269546335404e-10,-4.0086768879709265,0.00013861219755133302,-0.7437640419662513,0.7437640419662513,-0.5206117021276596,0.5206117021276596,2.997399189317498e-08,0.0005400848319098572,0.004459978380606668,252,0,False,False,2.997e-08,5.401e-04
std_7th_delta,Delta / Delta-delta,0.04406892464539007,0.03410688541666667,0.04044383333333333,0.033516500000000005,9146.0,5.181674130469079e-10,8.017670545689544,1.059912815580207e-13,0.9015919729062624,0.9015919729062624,0.520279255319149,0.520279255319149,2.997399189317498e-08,7.245949430148325e-12,0.011828916751884024,252,0,False,False,2.997e-08,7.246e-12
tqwt_TKEO_std_dec_12,TQWT,0.0009987193457446806,0.004208238229166667,0.0003120383333333333,0.0015663033333333334,2901.0,6.260854870501024e-10,-4.7195647750362975,1.109497540165009e-05,-0.9410496437361965,0.9410496437361965,-0.5177859042553191,0.5177859042553191,3.178516003197327e-08,8.691064064625903e-05,0.0036730653855481885,252,0,False,False,3.179e-08,8.691e-05
std_10th_delta_delta,Delta / Delta-delta,0.018606894326241134,0.014568693229166667,0.017329166666666666,0.014544333333333333,9130.0,6.340125006377648e-10,8.321638067069351,1.210210957415347e-14,0.9082905866366199,0.9082905866366199,0.5176196808510638,0.5176196808510638,3.178516003197327e-08,1.011198488862601e-12,0.004764361229370594,252,0,False,False,3.179e-08,1.011e-12
