feature,category,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
tqwt_TKEO_mean_dec_12,TQWT,0.031482533,0.0089669265,1.0,0.004459978380606668,252,0,False,False
tqwt_entropy_log_dec_12,TQWT,0.019450795,0.013356217,2.0,40196.01688188994,252,0,False,False
std_9th_delta_delta,Delta / Delta-delta,0.018525066,0.006128792,3.0,0.004621840252114953,252,0,False,False
std_delta_delta_log_energy,Delta / Delta-delta,0.016589468,0.0050181993,4.0,0.007949844354702586,251,0,False,False
std_delta_log_energy,Delta / Delta-delta,0.012640092,0.0039284425,5.0,0.02573179818241642,252,0,False,False
std_7th_delta_delta,Delta / Delta-delta,0.012629816,0.01043063,6.0,0.005503259858658112,251,0,False,False
std_8th_delta_delta,Delta / Delta-delta,0.012099459,0.003604956,7.0,0.00461733108569369,252,0,False,False
tqwt_entropy_shannon_dec_12,TQWT,0.011449939,0.015808694,8.0,189.06706093962842,252,0,False,False
tqwt_TKEO_std_dec_12,TQWT,0.011272786,0.015596732,9.0,0.0036730653855481885,252,0,False,False
tqwt_minValue_dec_11,TQWT,0.010867901,0.010132406,10.0,0.05930434994079044,252,0,False,False
std_9th_delta,Delta / Delta-delta,0.010327415,0.015917322,11.0,0.009858824007424775,252,0,False,False
tqwt_kurtosisValue_dec_20,TQWT,0.010175621,0.007442543,12.0,0.7375061873366606,250,0,False,False
app_LT_TKEO_mean_3_coef,Wavelet,0.00962253,0.0092187505,13.0,1.270521749922571,252,0,False,False
tqwt_energy_dec_27,TQWT,0.009547946,0.0049743387,14.0,0.08510246952333701,251,0,False,False
tqwt_TKEO_std_dec_19,TQWT,0.009507103,0.0035398419,15.0,0.08996087995660593,252,0,False,False
tqwt_entropy_log_dec_11,TQWT,0.009344274,0.007415111,16.0,43594.07966711276,252,0,False,False
numPulses,Other,0.0088760285,0.0079604825,17.0,93.04319146311943,225,0,False,False
tqwt_kurtosisValue_dec_34,TQWT,0.008579364,0.003042521,18.0,12.349700187161492,252,0,False,False
mean_MFCC_2nd_coef,MFCC,0.008088524,0.008256293,19.0,1.6008244386502515,251,0,False,False
app_LT_TKEO_mean_4_coef,Wavelet,0.007821927,0.0055803456,20.0,3.5152078680658954,252,0,False,False
DFA,Nonlinear,0.007785313,0.0047805454,21.0,0.06616222630518774,251,0,False,False
tqwt_TKEO_mean_dec_25,TQWT,0.0077787032,0.00556592,22.0,0.5619322041280519,252,0,False,False
tqwt_stdValue_dec_13,TQWT,0.0077549815,0.010960036,23.0,0.05097187883501582,252,0,False,False
std_6th_delta,Delta / Delta-delta,0.007633234,0.0043424834,24.0,0.01316788492577514,252,0,False,False
tqwt_kurtosisValue_dec_18,TQWT,0.007408815,0.0021953278,25.0,0.9505442648065496,252,0,False,False
tqwt_kurtosisValue_dec_33,TQWT,0.007042454,0.0042002373,26.0,13.327562626073325,252,0,False,False
tqwt_stdValue_dec_12,TQWT,0.006961742,0.015566928,27.0,0.027526241639717116,252,0,False,False
tqwt_maxValue_dec_12,TQWT,0.0069378824,0.013087388,28.0,0.08766160599587049,252,0,False,False
mean_delta_log_energy,Delta / Delta-delta,0.006878216,0.00404514,29.0,0.0038365898807469654,252,0,False,False
tqwt_entropy_log_dec_33,TQWT,0.006840902,0.004401377,30.0,864.6311079543106,252,0,False,False
tqwt_kurtosisValue_dec_35,TQWT,0.0067897155,0.010886928,31.0,11.497168524908826,252,0,False,False
ppq5Jitter,Jitter,0.006761866,0.010592813,32.0,0.0015634032560503527,208,0,False,False
std_8th_delta,Delta / Delta-delta,0.006746034,0.0021452738,33.0,0.009980204270499638,252,0,False,False
tqwt_entropy_shannon_dec_36,TQWT,0.006644839,0.0100053735,34.0,9.138155181902839,252,0,False,False
std_7th_delta,Delta / Delta-delta,0.006622041,0.0053029736,35.0,0.011828916751884024,252,0,False,False
tqwt_energy_dec_6,TQWT,0.006591787,0.0035863349,36.0,0.0033658305622442626,251,0,False,False
tqwt_entropy_log_dec_13,TQWT,0.006480906,0.008891075,37.0,31805.699008352247,252,0,False,False
tqwt_skewnessValue_dec_33,TQWT,0.006405411,0.0037879467,38.0,0.7399390928329563,252,0,False,False
tqwt_entropy_log_dec_27,TQWT,0.006399942,0.0036446801,39.0,3943.004753145414,252,0,False,False
