model,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,roc_auc
Logistic Regression,1,1.0,1.0,1.0,1.0,1.0
Logistic Regression,2,1.0,1.0,1.0,1.0,1.0
Logistic Regression,3,1.0,1.0,1.0,1.0,1.0
Logistic Regression,4,1.0,1.0,1.0,1.0,1.0
Logistic Regression,5,1.0,1.0,1.0,1.0,1.0
Logistic Regression,mean,1.0,1.0,1.0,1.0,1.0
Logistic Regression,std,0.0,0.0,0.0,0.0,0.0
SVM-RBF,1,1.0,1.0,1.0,1.0,1.0
SVM-RBF,2,1.0,1.0,1.0,1.0,1.0
SVM-RBF,3,0.9736842105263158,0.9615384615384616,0.9701960784313726,0.9734158926728584,1.0
SVM-RBF,4,0.972972972972973,0.9583333333333333,0.9684569479965899,0.9726503997603742,1.0
SVM-RBF,5,0.972972972972973,0.9583333333333333,0.9684569479965899,0.9726503997603742,1.0
SVM-RBF,mean,0.9839260312944523,0.9756410256410255,0.9814219948849103,0.9837433384387213,1.0
SVM-RBF,std,0.013126909809455828,0.019923423420410345,0.015182164733443658,0.013276451358144554,0.0
Random Forest,1,1.0,1.0,1.0,1.0,1.0
Random Forest,2,0.9736842105263158,0.98,0.9712773998488284,0.9739030114969963,1.0
Random Forest,3,0.9210526315789473,0.9030769230769231,0.9105882352941177,0.9202476780185759,0.9907692307692308
Random Forest,4,0.9459459459459459,0.96,0.9407051282051282,0.9468988218988219,0.9933333333333333
Random Forest,5,0.972972972972973,0.9583333333333333,0.9684569479965899,0.9726503997603742,1.0
Random Forest,mean,0.9627311522048364,0.9602820512820512,0.958205542268933,0.9627399822349536,0.9968205128205128
Random Forest,std,0.026954308100693623,0.0323809101154979,0.03031967642622349,0.027083857923483435,0.0039775834727518436
