candidate_id,feature_set,representation,method,k,n_features_original,n_components_after_transform,cluster_sizes,min_cluster_size,min_cluster_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm,top1_count,top1_frequency,top3_count,top3_frequency
top20_biomarkers|pca_5|KMeans|k2,top20_biomarkers,pca_5,KMeans,2,20,5,0:62;1:126,62,0.32978723404255317,0.32978723404255317,0.3673910342745844,109.90504105016983,1.0711434682571164,0.9897074165572594,0.7873051050110074,0.9656598310713981,0.9356340294432944,1.0,0.6595744680851063,3731,0.3731,6322,0.6322
top50_biomarkers|pca_5|KMeans|k2,top50_biomarkers,pca_5,KMeans,2,50,5,0:88;1:100,88,0.46808510638297873,0.46808510638297873,0.3073168836780175,88.34387629847956,1.2421997773386175,0.9224208296501516,0.6309732214112731,0.756739645949316,0.8708840547338528,0.9278237085229734,0.9361702127659575,2235,0.2235,3523,0.3523
pd_high_iqr_top50|pca_5|AgglomerativeClustering|k2,pd_high_iqr_top50,pca_5,AgglomerativeClustering,2,50,5,0:157;1:31,31,0.16489361702127658,0.16489361702127658,0.44912397869048243,104.94831863606268,0.9011016203137665,0.8798807760557011,1.0,0.9176309153667,1.0,0.8821922766312028,0.32978723404255317,2099,0.2099,2889,0.2889
pd_high_mad_top50|pca_5|KMeans|k2,pd_high_mad_top50,pca_5,KMeans,2,50,5,0:146;1:42,42,0.22340425531914893,0.22340425531914893,0.4095425956928451,113.44904537621329,0.952340794661385,0.9256829135807659,0.8969967598700137,1.0,0.9806044263379949,0.9313228475255741,0.44680851063829785,1812,0.1812,5972,0.5972
top50_biomarkers|scaled_only|KMeans|k2,top50_biomarkers,scaled_only,KMeans,2,50,50,0:94;1:94,94,0.5,0.5,0.2146954008847787,56.58491985634427,1.6487969669716138,0.9211409843421879,0.3899429159791246,0.4490064072496351,0.7169747491547012,0.9264508570790353,1.0,93,0.0093,892,0.0892
pd_high_iqr_top50|pca_5|KMeans|k2,pd_high_iqr_top50,pca_5,KMeans,2,50,5,0:145;1:43,43,0.22872340425531915,0.22872340425531915,0.413326504825011,110.878330985816,0.962249131799821,0.9182034895380938,0.906843684647599,0.9750906719315477,0.976853821741349,0.9232998950383354,0.4574468085106383,14,0.0014,5215,0.5215
top50_biomarkers|pca_10|KMeans|k2,top50_biomarkers,pca_10,KMeans,2,50,10,0:97;1:91,91,0.48404255319148937,0.48404255319148937,0.25810629935758517,70.08342179144168,1.4359939735138805,0.9250461158517795,0.5029117629726682,0.5798021947513402,0.7975271036306568,0.9306397738163565,0.9680851063829787,8,0.0008,2181,0.2181
all_acoustic|pca_10|KMeans|k2,all_acoustic,pca_10,KMeans,2,752,10,0:96;1:92,92,0.48936170212765956,0.48936170212765956,0.20348290254302717,39.79246560647866,1.8596600027298769,0.9517555068578539,0.36076445955122655,0.2862933678132572,0.6371567272073297,0.9592901316222844,0.9787234042553191,7,0.0007,28,0.0028
all_acoustic|pca_20|KMeans|k2,all_acoustic,pca_20,KMeans,2,752,20,0:95;1:93,93,0.4946808510638298,0.4946808510638298,0.16567022748673324,31.57439769811144,2.118879804615332,0.9502130404032866,0.2623639552279421,0.20666314892040613,0.5390342100877034,0.9576355743986867,0.9893617021276596,1,0.0001,11,0.0011
pd_high_mad_top50|pca_5|AgglomerativeClustering|k2,pd_high_mad_top50,pca_5,AgglomerativeClustering,2,50,5,0:156;1:32,32,0.1702127659574468,0.1702127659574468,0.43733310050037594,106.13725083782975,0.9106699485754679,0.8819048959654991,0.9693164168207197,0.9291512547616907,0.9963780990231608,0.8843634889828669,0.3404255319148936,0,0.0,1887,0.1887
pd_high_mad_top50|pca_10|AgglomerativeClustering|k2,pd_high_mad_top50,pca_10,AgglomerativeClustering,2,50,10,0:157;1:31,31,0.16489361702127658,0.16489361702127658,0.4289022653728996,101.96913213204716,0.9227358000823911,0.8821291176778403,0.9473767252444146,0.8887636346283838,0.9918108101338108,0.8846040048480535,0.32978723404255317,0,0.0,540,0.054
top20_biomarkers|pca_10|KMeans|k2,top20_biomarkers,pca_10,KMeans,2,20,10,0:62;1:126,62,0.32978723404255317,0.32978723404255317,0.3164208647185277,87.12644652990085,1.2437304873382866,0.9880995416312096,0.6546646509227302,0.7449431750464786,0.8703046348089272,0.9982752810826713,0.6595744680851063,0,0.0,297,0.0297
pd_high_mad_top50|scaled_only|AgglomerativeClustering|k2,pd_high_mad_top50,scaled_only,AgglomerativeClustering,2,50,50,0:157;1:31,31,0.16489361702127658,0.16489361702127658,0.42431948806762004,100.38052127439441,0.9330120986835007,0.9091974047414983,0.9354508935657656,0.8733705481096352,0.9879209210200951,0.9136393396256604,0.32978723404255317,0,0.0,107,0.0107
top20_biomarkers|scaled_only|KMeans|k2,top20_biomarkers,scaled_only,KMeans,2,20,20,0:62;1:126,62,0.32978723404255317,0.32978723404255317,0.2950382985411368,78.46931697467944,1.3274179954908145,0.987032778795772,0.5990204709632632,0.6610586015490789,0.8386263876547075,0.9971309967774843,0.6595744680851063,0,0.0,68,0.0068
top20_biomarkers|pca_5|AgglomerativeClustering|k2,top20_biomarkers,pca_5,AgglomerativeClustering,2,20,5,0:135;1:53,53,0.28191489361702127,0.28191489361702127,0.3712710426237738,104.73165632654545,1.034259781871756,0.8676902543384019,0.7974021102551587,0.9155315329662307,0.9495956177265139,0.8691158718205455,0.5638297872340425,0,0.0,27,0.0027
