feature_set,feature,source_feature_count,threshold_abs_r,component_id,component_size,component_features,pd_iqr,pd_mad,selection_rule,rank
pd_corr_reduced_all_090,PPE,752.0,0.9,1.0,1.0,PPE,0.16718833333333327,0.030458333333333365,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,DFA,752.0,0.9,2.0,1.0,DFA,0.09749416666666666,0.049383333333333335,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,RPDE,752.0,0.9,3.0,1.0,RPDE,0.18173083333333334,0.08970166666666657,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,app_entropy_shannon_10_coef,752.0,0.9,4.0,83.0,app_LT_TKEO_mean_10_coef;app_LT_TKEO_mean_1_coef;app_LT_TKEO_mean_2_coef;app_LT_TKEO_mean_3_coef;app_LT_TKEO_mean_4_coef;app_LT_TKEO_mean_5_coef;app_LT_TKEO_mean_6_coef;app_LT_TKEO_mean_7_coef;app_LT_TKEO_mean_8_coef;app_LT_TKEO_mean_9_coef;app_LT_TKEO_std_10_coef;app_LT_TKEO_std_1_coef;app_LT_TKEO_std_2_coef;app_LT_TKEO_std_3_coef;app_LT_TKEO_std_4_coef;app_LT_TKEO_std_5_coef;app_LT_TKEO_std_6_coef;app_LT_TKEO_std_7_coef;app_LT_TKEO_std_8_coef;app_LT_TKEO_std_9_coef;app_LT_entropy_log_10_coef;app_LT_entropy_log_1_coef;app_LT_entropy_log_2_coef;app_LT_entropy_log_3_coef;app_LT_entropy_log_4_coef;app_LT_entropy_log_5_coef;app_LT_entropy_log_6_coef;app_LT_entropy_log_7_coef;app_LT_entropy_log_8_coef;app_LT_entropy_log_9_coef;app_LT_entropy_shannon_10_coef;app_LT_entropy_shannon_1_coef;app_LT_entropy_shannon_2_coef;app_LT_entropy_shannon_3_coef;app_LT_entropy_shannon_4_coef;app_LT_entropy_shannon_5_coef;app_LT_entropy_shannon_6_coef;app_LT_entropy_shannon_7_coef;app_LT_entropy_shannon_8_coef;app_LT_entropy_shannon_9_coef;app_TKEO_std_10_coef;app_TKEO_std_1_coef;app_TKEO_std_2_coef;app_TKEO_std_3_coef;app_TKEO_std_4_coef;app_TKEO_std_5_coef;app_TKEO_std_6_coef;app_TKEO_std_7_coef;app_TKEO_std_8_coef;app_TKEO_std_9_coef;app_det_TKEO_mean_10_coef;app_det_TKEO_mean_1_coef;app_det_TKEO_mean_2_coef;app_det_TKEO_mean_3_coef;app_det_TKEO_mean_4_coef;app_det_TKEO_mean_5_coef;app_det_TKEO_mean_6_coef;app_det_TKEO_mean_7_coef;app_det_TKEO_mean_8_coef;app_det_TKEO_mean_9_coef;app_entropy_log_10_coef;app_entropy_log_1_coef;app_entropy_log_2_coef;app_entropy_log_3_coef;app_entropy_log_4_coef;app_entropy_log_5_coef;app_entropy_log_6_coef;app_entropy_log_7_coef;app_entropy_log_8_coef;app_entropy_log_9_coef;app_entropy_shannon_10_coef;app_entropy_shannon_1_coef;app_entropy_shannon_2_coef;app_entropy_shannon_3_coef;app_entropy_shannon_4_coef;app_entropy_shannon_5_coef;app_entropy_shannon_6_coef;app_entropy_shannon_7_coef;app_entropy_shannon_8_coef;app_entropy_shannon_9_coef;meanPeriodPulses;numPeriodsPulses;numPulses,4746728341.333334,2388589335.833334,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,stdDevPeriodPulses,752.0,0.9,5.0,1.0,stdDevPeriodPulses,0.0005495357499999332,6.0718333333266666e-05,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,locPctJitter,752.0,0.9,6.0,5.0,ddpJitter;locAbsJitter;locPctJitter;ppq5Jitter;rapJitter,0.0018933333333333502,0.0006866666666666501,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,locDbShimmer,752.0,0.9,7.0,6.0,apq11Shimmer;apq3Shimmer;apq5Shimmer;ddaShimmer;locDbShimmer;locShimmer,0.4338333333333334,0.2,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,meanNoiseToHarmHarmonicity,752.0,0.9,8.0,2.0,meanAutoCorrHarmonicity;meanNoiseToHarmHarmonicity,0.03860508333333332,0.014110000000000001,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,meanHarmToNoiseHarmonicity,752.0,0.9,9.0,1.0,meanHarmToNoiseHarmonicity,6.2690833333333345,3.252,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
pd_corr_reduced_all_090,minIntensity,752.0,0.9,10.0,3.0,maxIntensity;meanIntensity;minIntensity,11.414286271666668,4.455373145000003,"PD-only correlation components; retain largest PD IQR, tie-break by MAD then feature name",
