feature_set,representation,clustering_method,k,n_subjects,n_features_original,n_components_after_pca,pca_explained_variance_sum,cluster_sizes,min_cluster_size,max_cluster_size,min_cluster_ratio,max_cluster_ratio,size_imbalance_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,stability_ari_std,stability_n_runs,exclusion_or_warning
top20_biomarkers,pca_5,KMeans,2,188,20,5,0.7966532283202867,0:62;1:126,62,126,0.32978723404255317,0.6702127659574468,2.032258064516129,0.3673910342745844,109.90504105016983,1.0711434682571164,0.9897074165572594,0.016328445758585875,50,
top20_biomarkers,pca_5,GaussianMixture,2,188,20,5,0.7966532283202867,0:143;1:45,45,143,0.2393617021276596,0.7606382978723404,3.1777777777777776,0.23238448383169463,30.058392469095935,2.1575786039840352,0.44252758082616006,0.42860177063508437,50,
top20_biomarkers,pca_5,AgglomerativeClustering,2,188,20,5,0.7966532283202867,0:135;1:53,53,135,0.28191489361702127,0.7180851063829787,2.547169811320755,0.3712710426237738,104.73165632654545,1.034259781871756,0.8676902543384019,0.0698101955212778,50,
top20_biomarkers,pca_5,KMeans,3,188,20,5,0.7966532283202867,0:76;1:54;2:58,54,76,0.2872340425531915,0.40425531914893614,1.4074074074074074,0.296220978157759,96.56851776391171,1.221986438851737,0.8274308558536244,0.16834321799780697,50,
top20_biomarkers,pca_5,GaussianMixture,3,188,20,5,0.7966532283202867,0:48;1:100;2:40,40,100,0.2127659574468085,0.5319148936170213,2.5,0.28357261816592727,62.69162356805157,1.6665871753591766,0.6023024130851781,0.21906728786697907,50,
top20_biomarkers,pca_5,AgglomerativeClustering,3,188,20,5,0.7966532283202867,0:122;1:53;2:13,13,122,0.06914893617021277,0.648936170212766,9.384615384615385,0.3623987167155393,87.05482632211572,1.077572765031191,0.6451832205493311,0.2341279057837891,50,
top20_biomarkers,pca_5,KMeans,4,188,20,5,0.7966532283202867,0:63;1:53;2:8;3:64,8,64,0.0425531914893617,0.3404255319148936,8.0,0.30054857638697247,89.39997219353906,1.1434807502633553,0.9264184759831389,0.04540379382362481,50,
top20_biomarkers,pca_5,GaussianMixture,4,188,20,5,0.7966532283202867,0:42;1:36;2:16;3:94,16,94,0.0851063829787234,0.5,5.875,0.2181559107108304,52.51718898149749,1.9830171792266147,0.4807185195362036,0.19422792563048924,50,
top20_biomarkers,pca_5,AgglomerativeClustering,4,188,20,5,0.7966532283202867,0:53;1:67;2:13;3:55,13,67,0.06914893617021277,0.35638297872340424,5.153846153846154,0.23261836916859502,77.7516628745463,1.3395325855269784,0.5259355002845368,0.08959509826204742,50,
top20_biomarkers,pca_5,KMeans,5,188,20,5,0.7966532283202867,0:60;1:17;2:42;3:7;4:62,7,62,0.03723404255319149,0.32978723404255317,8.857142857142858,0.28121849807597915,82.62861432442163,1.2285152585399897,0.9405087476697244,0.07257730820257637,50,
top20_biomarkers,pca_5,GaussianMixture,5,188,20,5,0.7966532283202867,0:57;1:31;2:7;3:48;4:45,7,57,0.03723404255319149,0.30319148936170215,8.142857142857142,0.13963207728605587,45.8183725724162,1.7969465822552553,0.4045712571165677,0.08902421022481069,50,
top20_biomarkers,pca_5,AgglomerativeClustering,5,188,20,5,0.7966532283202867,0:67;1:55;2:13;3:28;4:25,13,67,0.06914893617021277,0.35638297872340424,5.153846153846154,0.1996342164232588,69.20809608776165,1.4092127796335123,0.48185420817216545,0.09607314971235612,50,
top20_biomarkers,pca_5,KMeans,6,188,20,5,0.7966532283202867,0:38;1:39;2:53;3:6;4:17;5:35,6,53,0.031914893617021274,0.28191489361702127,8.833333333333334,0.2650073171331835,75.70288211050814,1.3415826364346903,0.7025733153468297,0.16120429382085505,50,
