model,fold,true_stage6_cluster,predicted_stage6_cluster,count
Multinomial Logistic Regression,1,0,0,2
Multinomial Logistic Regression,1,0,1,0
Multinomial Logistic Regression,1,0,2,0
Multinomial Logistic Regression,1,0,3,0
Multinomial Logistic Regression,1,0,4,0
Multinomial Logistic Regression,1,0,5,0
Multinomial Logistic Regression,1,1,0,0
Multinomial Logistic Regression,1,1,1,10
Multinomial Logistic Regression,1,1,2,0
Multinomial Logistic Regression,1,1,3,0
Multinomial Logistic Regression,1,1,4,0
Multinomial Logistic Regression,1,1,5,1
Multinomial Logistic Regression,1,2,0,0
Multinomial Logistic Regression,1,2,1,0
Multinomial Logistic Regression,1,2,2,6
Multinomial Logistic Regression,1,2,3,0
Multinomial Logistic Regression,1,2,4,0
Multinomial Logistic Regression,1,2,5,1
Multinomial Logistic Regression,1,3,0,0
Multinomial Logistic Regression,1,3,1,0
Multinomial Logistic Regression,1,3,2,0
Multinomial Logistic Regression,1,3,3,6
Multinomial Logistic Regression,1,3,4,0
Multinomial Logistic Regression,1,3,5,0
Multinomial Logistic Regression,1,4,0,0
Multinomial Logistic Regression,1,4,1,0
Multinomial Logistic Regression,1,4,2,0
Multinomial Logistic Regression,1,4,3,0
Multinomial Logistic Regression,1,4,4,5
Multinomial Logistic Regression,1,4,5,0
Multinomial Logistic Regression,1,5,0,0
Multinomial Logistic Regression,1,5,1,0
Multinomial Logistic Regression,1,5,2,0
Multinomial Logistic Regression,1,5,3,0
Multinomial Logistic Regression,1,5,4,0
Multinomial Logistic Regression,1,5,5,7
Multinomial Logistic Regression,2,0,0,1
Multinomial Logistic Regression,2,0,1,0
Multinomial Logistic Regression,2,0,2,1
Multinomial Logistic Regression,2,0,3,0
Multinomial Logistic Regression,2,0,4,0
Multinomial Logistic Regression,2,0,5,0
Multinomial Logistic Regression,2,1,0,0
Multinomial Logistic Regression,2,1,1,9
Multinomial Logistic Regression,2,1,2,2
Multinomial Logistic Regression,2,1,3,0
Multinomial Logistic Regression,2,1,4,0
Multinomial Logistic Regression,2,1,5,0
Multinomial Logistic Regression,2,2,0,0
Multinomial Logistic Regression,2,2,1,1
Multinomial Logistic Regression,2,2,2,4
Multinomial Logistic Regression,2,2,3,0
Multinomial Logistic Regression,2,2,4,0
Multinomial Logistic Regression,2,2,5,2
Multinomial Logistic Regression,2,3,0,0
Multinomial Logistic Regression,2,3,1,0
Multinomial Logistic Regression,2,3,2,0
Multinomial Logistic Regression,2,3,3,6
Multinomial Logistic Regression,2,3,4,0
Multinomial Logistic Regression,2,3,5,0
Multinomial Logistic Regression,2,4,0,0
Multinomial Logistic Regression,2,4,1,0
Multinomial Logistic Regression,2,4,2,0
Multinomial Logistic Regression,2,4,3,0
Multinomial Logistic Regression,2,4,4,5
Multinomial Logistic Regression,2,4,5,0
Multinomial Logistic Regression,2,5,0,0
Multinomial Logistic Regression,2,5,1,0
Multinomial Logistic Regression,2,5,2,0
Multinomial Logistic Regression,2,5,3,0
Multinomial Logistic Regression,2,5,4,0
Multinomial Logistic Regression,2,5,5,7
Multinomial Logistic Regression,3,0,0,3
Multinomial Logistic Regression,3,0,1,0
Multinomial Logistic Regression,3,0,2,0
Multinomial Logistic Regression,3,0,3,0
Multinomial Logistic Regression,3,0,4,0
Multinomial Logistic Regression,3,0,5,0
Multinomial Logistic Regression,3,1,0,0
Multinomial Logistic Regression,3,1,1,9
Multinomial Logistic Regression,3,1,2,2
Multinomial Logistic Regression,3,1,3,0
Multinomial Logistic Regression,3,1,4,0
Multinomial Logistic Regression,3,1,5,0
Multinomial Logistic Regression,3,2,0,0
Multinomial Logistic Regression,3,2,1,0
Multinomial Logistic Regression,3,2,2,6
Multinomial Logistic Regression,3,2,3,0
Multinomial Logistic Regression,3,2,4,0
Multinomial Logistic Regression,3,2,5,0
Multinomial Logistic Regression,3,3,0,0
Multinomial Logistic Regression,3,3,1,0
Multinomial Logistic Regression,3,3,2,1
Multinomial Logistic Regression,3,3,3,4
Multinomial Logistic Regression,3,3,4,1
Multinomial Logistic Regression,3,3,5,0
Multinomial Logistic Regression,3,4,0,0
Multinomial Logistic Regression,3,4,1,0
Multinomial Logistic Regression,3,4,2,0
Multinomial Logistic Regression,3,4,3,0
Multinomial Logistic Regression,3,4,4,5
Multinomial Logistic Regression,3,4,5,0
Multinomial Logistic Regression,3,5,0,0
Multinomial Logistic Regression,3,5,1,1
Multinomial Logistic Regression,3,5,2,1
Multinomial Logistic Regression,3,5,3,0
Multinomial Logistic Regression,3,5,4,0
Multinomial Logistic Regression,3,5,5,5
Multinomial Logistic Regression,4,0,0,3
Multinomial Logistic Regression,4,0,1,0
Multinomial Logistic Regression,4,0,2,0
Multinomial Logistic Regression,4,0,3,0
Multinomial Logistic Regression,4,0,4,0
Multinomial Logistic Regression,4,0,5,0
Multinomial Logistic Regression,4,1,0,0
Multinomial Logistic Regression,4,1,1,9
Multinomial Logistic Regression,4,1,2,1
Multinomial Logistic Regression,4,1,3,0
Multinomial Logistic Regression,4,1,4,1
Multinomial Logistic Regression,4,1,5,0
Multinomial Logistic Regression,4,2,0,0
Multinomial Logistic Regression,4,2,1,0
Multinomial Logistic Regression,4,2,2,7
Multinomial Logistic Regression,4,2,3,0
Multinomial Logistic Regression,4,2,4,0
Multinomial Logistic Regression,4,2,5,0
Multinomial Logistic Regression,4,3,0,0
Multinomial Logistic Regression,4,3,1,0
Multinomial Logistic Regression,4,3,2,0
Multinomial Logistic Regression,4,3,3,5
Multinomial Logistic Regression,4,3,4,0
Multinomial Logistic Regression,4,3,5,0
Multinomial Logistic Regression,4,4,0,0
Multinomial Logistic Regression,4,4,1,0
Multinomial Logistic Regression,4,4,2,0
Multinomial Logistic Regression,4,4,3,0
Multinomial Logistic Regression,4,4,4,5
Multinomial Logistic Regression,4,4,5,0
Multinomial Logistic Regression,4,5,0,0
Multinomial Logistic Regression,4,5,1,0
Multinomial Logistic Regression,4,5,2,1
Multinomial Logistic Regression,4,5,3,0
Multinomial Logistic Regression,4,5,4,0
Multinomial Logistic Regression,4,5,5,5
Multinomial Logistic Regression,5,0,0,3
Multinomial Logistic Regression,5,0,1,0
Multinomial Logistic Regression,5,0,2,0
Multinomial Logistic Regression,5,0,3,0
Multinomial Logistic Regression,5,0,4,0
Multinomial Logistic Regression,5,0,5,0
Multinomial Logistic Regression,5,1,0,0
Multinomial Logistic Regression,5,1,1,10
Multinomial Logistic Regression,5,1,2,0
Multinomial Logistic Regression,5,1,3,0
Multinomial Logistic Regression,5,1,4,1
Multinomial Logistic Regression,5,1,5,0
Multinomial Logistic Regression,5,2,0,0
Multinomial Logistic Regression,5,2,1,0
Multinomial Logistic Regression,5,2,2,6
Multinomial Logistic Regression,5,2,3,1
Multinomial Logistic Regression,5,2,4,0
Multinomial Logistic Regression,5,2,5,0
Multinomial Logistic Regression,5,3,0,0
Multinomial Logistic Regression,5,3,1,0
Multinomial Logistic Regression,5,3,2,0
Multinomial Logistic Regression,5,3,3,5
Multinomial Logistic Regression,5,3,4,0
Multinomial Logistic Regression,5,3,5,0
Multinomial Logistic Regression,5,4,0,0
Multinomial Logistic Regression,5,4,1,1
Multinomial Logistic Regression,5,4,2,0
Multinomial Logistic Regression,5,4,3,0
Multinomial Logistic Regression,5,4,4,4
Multinomial Logistic Regression,5,4,5,0
Multinomial Logistic Regression,5,5,0,0
Multinomial Logistic Regression,5,5,1,2
Multinomial Logistic Regression,5,5,2,1
Multinomial Logistic Regression,5,5,3,0
Multinomial Logistic Regression,5,5,4,0
Multinomial Logistic Regression,5,5,5,3
SVM-RBF,1,0,0,1
SVM-RBF,1,0,1,0
SVM-RBF,1,0,2,0
SVM-RBF,1,0,3,1
SVM-RBF,1,0,4,0
SVM-RBF,1,0,5,0
SVM-RBF,1,1,0,0
SVM-RBF,1,1,1,10
SVM-RBF,1,1,2,0
SVM-RBF,1,1,3,0
SVM-RBF,1,1,4,0
SVM-RBF,1,1,5,1
SVM-RBF,1,2,0,0
SVM-RBF,1,2,1,0
SVM-RBF,1,2,2,6
SVM-RBF,1,2,3,0
SVM-RBF,1,2,4,0
SVM-RBF,1,2,5,1
SVM-RBF,1,3,0,0
SVM-RBF,1,3,1,0
SVM-RBF,1,3,2,0
SVM-RBF,1,3,3,6
SVM-RBF,1,3,4,0
SVM-RBF,1,3,5,0
SVM-RBF,1,4,0,0
SVM-RBF,1,4,1,0
SVM-RBF,1,4,2,0
SVM-RBF,1,4,3,0
SVM-RBF,1,4,4,5
SVM-RBF,1,4,5,0
SVM-RBF,1,5,0,0
SVM-RBF,1,5,1,0
SVM-RBF,1,5,2,0
SVM-RBF,1,5,3,0
SVM-RBF,1,5,4,0
SVM-RBF,1,5,5,7
SVM-RBF,2,0,0,1
SVM-RBF,2,0,1,0
SVM-RBF,2,0,2,1
SVM-RBF,2,0,3,0
SVM-RBF,2,0,4,0
SVM-RBF,2,0,5,0
SVM-RBF,2,1,0,0
SVM-RBF,2,1,1,8
SVM-RBF,2,1,2,2
SVM-RBF,2,1,3,0
SVM-RBF,2,1,4,0
SVM-RBF,2,1,5,1
SVM-RBF,2,2,0,0
SVM-RBF,2,2,1,1
SVM-RBF,2,2,2,4
SVM-RBF,2,2,3,0
SVM-RBF,2,2,4,0
SVM-RBF,2,2,5,2
SVM-RBF,2,3,0,0
SVM-RBF,2,3,1,0
SVM-RBF,2,3,2,0
SVM-RBF,2,3,3,6
SVM-RBF,2,3,4,0
SVM-RBF,2,3,5,0
SVM-RBF,2,4,0,0
SVM-RBF,2,4,1,0
SVM-RBF,2,4,2,0
SVM-RBF,2,4,3,0
SVM-RBF,2,4,4,5
SVM-RBF,2,4,5,0
SVM-RBF,2,5,0,0
SVM-RBF,2,5,1,0
SVM-RBF,2,5,2,0
SVM-RBF,2,5,3,0
SVM-RBF,2,5,4,0
SVM-RBF,2,5,5,7
SVM-RBF,3,0,0,2
SVM-RBF,3,0,1,0
SVM-RBF,3,0,2,1
SVM-RBF,3,0,3,0
SVM-RBF,3,0,4,0
SVM-RBF,3,0,5,0
SVM-RBF,3,1,0,0
SVM-RBF,3,1,1,9
SVM-RBF,3,1,2,1
SVM-RBF,3,1,3,0
SVM-RBF,3,1,4,0
SVM-RBF,3,1,5,1
SVM-RBF,3,2,0,0
SVM-RBF,3,2,1,1
SVM-RBF,3,2,2,5
SVM-RBF,3,2,3,0
SVM-RBF,3,2,4,0
SVM-RBF,3,2,5,0
SVM-RBF,3,3,0,1
SVM-RBF,3,3,1,1
SVM-RBF,3,3,2,0
SVM-RBF,3,3,3,4
SVM-RBF,3,3,4,0
SVM-RBF,3,3,5,0
SVM-RBF,3,4,0,0
SVM-RBF,3,4,1,0
SVM-RBF,3,4,2,0
SVM-RBF,3,4,3,0
SVM-RBF,3,4,4,5
SVM-RBF,3,4,5,0
SVM-RBF,3,5,0,0
SVM-RBF,3,5,1,0
SVM-RBF,3,5,2,0
SVM-RBF,3,5,3,0
SVM-RBF,3,5,4,0
SVM-RBF,3,5,5,7
SVM-RBF,4,0,0,3
SVM-RBF,4,0,1,0
SVM-RBF,4,0,2,0
SVM-RBF,4,0,3,0
SVM-RBF,4,0,4,0
SVM-RBF,4,0,5,0
SVM-RBF,4,1,0,0
SVM-RBF,4,1,1,10
SVM-RBF,4,1,2,0
SVM-RBF,4,1,3,0
SVM-RBF,4,1,4,1
SVM-RBF,4,1,5,0
SVM-RBF,4,2,0,0
SVM-RBF,4,2,1,0
SVM-RBF,4,2,2,7
SVM-RBF,4,2,3,0
SVM-RBF,4,2,4,0
SVM-RBF,4,2,5,0
SVM-RBF,4,3,0,0
SVM-RBF,4,3,1,0
SVM-RBF,4,3,2,0
SVM-RBF,4,3,3,5
SVM-RBF,4,3,4,0
SVM-RBF,4,3,5,0
SVM-RBF,4,4,0,0
SVM-RBF,4,4,1,0
SVM-RBF,4,4,2,0
SVM-RBF,4,4,3,0
SVM-RBF,4,4,4,5
SVM-RBF,4,4,5,0
SVM-RBF,4,5,0,0
SVM-RBF,4,5,1,0
SVM-RBF,4,5,2,0
SVM-RBF,4,5,3,0
SVM-RBF,4,5,4,0
SVM-RBF,4,5,5,6
SVM-RBF,5,0,0,2
SVM-RBF,5,0,1,0
SVM-RBF,5,0,2,0
SVM-RBF,5,0,3,1
SVM-RBF,5,0,4,0
SVM-RBF,5,0,5,0
SVM-RBF,5,1,0,0
SVM-RBF,5,1,1,8
SVM-RBF,5,1,2,1
SVM-RBF,5,1,3,0
SVM-RBF,5,1,4,2
SVM-RBF,5,1,5,0
SVM-RBF,5,2,0,0
SVM-RBF,5,2,1,0
SVM-RBF,5,2,2,7
SVM-RBF,5,2,3,0
SVM-RBF,5,2,4,0
SVM-RBF,5,2,5,0
SVM-RBF,5,3,0,0
SVM-RBF,5,3,1,0
SVM-RBF,5,3,2,0
SVM-RBF,5,3,3,5
SVM-RBF,5,3,4,0
SVM-RBF,5,3,5,0
SVM-RBF,5,4,0,0
SVM-RBF,5,4,1,1
SVM-RBF,5,4,2,0
SVM-RBF,5,4,3,0
SVM-RBF,5,4,4,4
