feature_set,representation,method,k,candidate_id,n_subjects,n_features_original,n_components_after_transform,pca_explained_variance_sum,cluster_sizes,min_cluster_size,max_cluster_size,min_cluster_ratio,max_cluster_ratio,size_imbalance_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,stability_ari_std,stability_n_runs,eligible_for_recommendation,exclusion_or_warning,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm
top20_biomarkers,scaled_only,KMeans,6,top20_biomarkers|scaled_only|KMeans|k6,188,20,20,,0:17;1:52;2:30;3:7;4:36;5:46,7,52,0.03723404255319149,0.2765957446808511,7.428571428571429,0.03723404255319149,0.142498719187662,43.6599367342808,1.672174640542628,0.6669115326014452,0.15864170117677792,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,scaled_only,GaussianMixture,6,top20_biomarkers|scaled_only|GaussianMixture|k6,188,20,20,,0:42;1:7;2:51;3:37;4:34;5:17,7,51,0.03723404255319149,0.2712765957446808,7.285714285714286,0.03723404255319149,0.13288354116495973,43.171932191223846,1.721528776286427,0.5536495672907715,0.1012393362036544,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,scaled_only,AgglomerativeClustering,6,top20_biomarkers|scaled_only|AgglomerativeClustering|k6,188,20,20,,0:59;1:61;2:16;3:2;4:39;5:11,2,61,0.010638297872340425,0.324468085106383,30.5,0.010638297872340425,0.17235734551102724,40.33509046487571,1.6816665738409442,0.6094320533006929,0.13651648474818034,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,pca_5,KMeans,6,top20_biomarkers|pca_5|KMeans|k6,188,20,5,0.7966532283202867,0:38;1:39;2:53;3:6;4:17;5:35,6,53,0.031914893617021274,0.28191489361702127,8.833333333333334,0.031914893617021274,0.2650073171331835,75.70288211050814,1.3415826364346903,0.6997643531443274,0.1628235607109098,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,pca_5,GaussianMixture,6,top20_biomarkers|pca_5|GaussianMixture|k6,188,20,5,0.7966532283202867,0:35;1:13;2:5;3:85;4:18;5:32,5,85,0.026595744680851064,0.4521276595744681,17.0,0.026595744680851064,0.09258843710215924,43.64013791846081,1.7293826317601662,0.36787447079142055,0.11923539894805714,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,pca_5,AgglomerativeClustering,6,top20_biomarkers|pca_5|AgglomerativeClustering|k6,188,20,5,0.7966532283202867,0:13;1:55;2:34;3:28;4:25;5:33,13,55,0.06914893617021277,0.2925531914893617,4.230769230769231,0.06914893617021277,0.1822999617360834,63.973737311061676,1.4267508629735872,0.458186194409133,0.08575010844295473,50,True,,1.0,1.0,1.0,0.0,0.41489361702127664
top20_biomarkers,pca_10,KMeans,6,top20_biomarkers|pca_10|KMeans|k6,188,20,10,0.9297288849745412,0:30;1:36;2:17;3:47;4:7;5:51,7,51,0.03723404255319149,0.2712765957446808,7.285714285714286,0.03723404255319149,0.16849435664393006,51.207457393592875,1.5510275200825239,0.682406447237615,0.17013694888319406,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,pca_10,GaussianMixture,6,top20_biomarkers|pca_10|GaussianMixture|k6,188,20,10,0.9297288849745412,0:56;1:9;2:40;3:36;4:31;5:16,9,56,0.047872340425531915,0.2978723404255319,6.222222222222222,0.047872340425531915,0.12556695160459935,43.72002578164447,1.9423236574551286,0.42670616149631135,0.10623032345270544,50,False,min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top20_biomarkers,pca_10,AgglomerativeClustering,6,top20_biomarkers|pca_10|AgglomerativeClustering|k6,188,20,10,0.9297288849745412,0:65;1:56;2:21;3:11;4:33;5:2,2,65,0.010638297872340425,0.34574468085106386,32.5,0.010638297872340425,0.1852067423016751,46.54337926755585,1.560860647476123,0.6154042652881027,0.11471052436229927,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,scaled_only,KMeans,6,top50_biomarkers|scaled_only|KMeans|k6,188,50,50,,0:22;1:2;2:65;3:16;4:53;5:30,2,65,0.010638297872340425,0.34574468085106386,32.5,0.010638297872340425,0.14872731663630068,36.87903819904988,1.752542648982233,0.7106050779081156,0.11838556534883372,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,scaled_only,GaussianMixture,6,top50_biomarkers|scaled_only|GaussianMixture|k6,188,50,50,,0:53;1:9;2:50;3:49;4:1;5:26,1,53,0.005319148936170213,0.28191489361702127,53.0,0.005319148936170213,0.14939357482270835,33.230201871554925,1.6223967106078474,0.649789749709357,0.1145569236431992,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,scaled_only,AgglomerativeClustering,6,top50_biomarkers|scaled_only|AgglomerativeClustering|k6,188,50,50,,0:49;1:9;2:62;3:2;4:53;5:13,2,62,0.010638297872340425,0.32978723404255317,31.0,0.010638297872340425,0.16557702179023573,34.63866108195592,1.6351961129313997,0.7310785145219885,0.12057890872873639,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,pca_5,KMeans,6,top50_biomarkers|pca_5|KMeans|k6,188,50,5,0.7221604263274556,0:17;1:28;2:26;3:50;4:2;5:65,2,65,0.010638297872340425,0.34574468085106386,32.5,0.010638297872340425,0.27265475377491444,77.74942647977986,1.1814860512633725,0.6974681981866384,0.13937706697705493,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,pca_5,GaussianMixture,6,top50_biomarkers|pca_5|GaussianMixture|k6,188,50,5,0.7221604263274556,0:10;1:24;2:2;3:50;4:18;5:84,2,84,0.010638297872340425,0.44680851063829785,42.0,0.010638297872340425,0.1691195253021773,48.61463408482631,1.34454758209893,0.5479358927745676,0.10094323746039512,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,pca_5,AgglomerativeClustering,6,top50_biomarkers|pca_5|AgglomerativeClustering|k6,188,50,5,0.7221604263274556,0:54;1:50;2:67;3:9;4:2;5:6,2,67,0.010638297872340425,0.35638297872340424,33.5,0.010638297872340425,0.282818621846516,71.12463538154086,0.9944331062413557,0.6676166566061542,0.11202833825933442,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,pca_10,KMeans,6,top50_biomarkers|pca_10|KMeans|k6,188,50,10,0.8511492928436548,0:36;1:53;2:49;3:37;4:2;5:11,2,53,0.010638297872340425,0.28191489361702127,26.5,0.010638297872340425,0.20544876394743392,51.46027987988359,1.3959268043855966,0.7212482577354347,0.12110105442908696,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,pca_10,GaussianMixture,6,top50_biomarkers|pca_10|GaussianMixture|k6,188,50,10,0.8511492928436548,0:35;1:58;2:2;3:54;4:25;5:14,2,58,0.010638297872340425,0.30851063829787234,29.0,0.010638297872340425,0.1988913672089899,46.39864435656239,1.4682474065950795,0.6090945064371894,0.11570567583893306,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
top50_biomarkers,pca_10,AgglomerativeClustering,6,top50_biomarkers|pca_10|AgglomerativeClustering|k6,188,50,10,0.8511492928436548,0:75;1:14;2:48;3:47;4:2;5:2,2,75,0.010638297872340425,0.39893617021276595,37.5,0.010638297872340425,0.2136572331439179,47.35975470707145,1.2569430096044714,0.6925874595849723,0.10279931060695113,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_10,KMeans,6,all_acoustic|pca_10|KMeans|k6,188,752,10,0.5814996718441918,0:58;1:28;2:10;3:26;4:1;5:65,1,65,0.005319148936170213,0.34574468085106386,65.0,0.005319148936170213,0.19898728603098143,32.476613713314634,1.2945853730462895,0.7647017864166754,0.09079117552064937,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_10,GaussianMixture,6,all_acoustic|pca_10|GaussianMixture|k6,188,752,10,0.5814996718441918,0:23;1:35;2:37;3:23;4:1;5:69,1,69,0.005319148936170213,0.3670212765957447,69.0,0.005319148936170213,0.14907641805677624,27.499224700368163,1.4278443378560561,0.4013856833912316,0.11086639695597145,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_10,AgglomerativeClustering,6,all_acoustic|pca_10|AgglomerativeClustering|k6,188,752,10,0.5814996718441918,0:13;1:56;2:73;3:26;4:19;5:1,1,73,0.005319148936170213,0.3882978723404255,73.0,0.005319148936170213,0.1877959773181626,30.746554181372808,1.2908069701492717,0.677521185846356,0.1041430943442563,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
