run,weight_silhouette,weight_calinski_harabasz,weight_davies_bouldin,weight_stability_ari,weight_balance,top1_candidate_id,top1_feature_set,top1_representation,top1_method,top1_score
1,0.40949799388653796,0.15821700728798832,0.22308294304543752,0.19690807157484935,0.012293984205186832,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7958986397944562
2,0.08754708284617048,0.25179218127270914,0.5402331264945269,0.06079752877849211,0.05963008060810139,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.904312530440172
3,0.057030862608507614,0.028122257680292372,0.384763978103297,0.4769870628947231,0.05309583871318005,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.5007107355112503
4,0.20557873344202834,0.14235035665064041,0.24184470912755462,0.24838328332539975,0.16184291745437687,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6569213926321458
5,0.018922102999174722,0.35354598036005747,0.13588770407921538,0.21717129916170916,0.27447291339984337,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6222328472532762
6,0.21857444778036683,0.3578913847353933,0.134752096187378,0.1291348564011728,0.15964721489568906,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7774545391385836
7,0.5406080658399799,0.03391852479863542,0.0570320448342635,0.13846146305102394,0.2299799014760972,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7269758286384936
8,0.2188162283852105,0.6095664487841207,0.06309110732079691,0.0046387239855764486,0.10388749152429544,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9345760416119103
9,0.7788899558624578,0.09433810165024274,0.03900395291770757,0.023924715071551455,0.06384327449804028,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.9387201775093822
10,0.3492468838249407,0.008313096960792032,0.22422676175575823,0.2688956673211411,0.14931759013736773,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6437376575984839
